Day,Date,Revenue
1,2013-01-01,4.5
2,2013-01-02,8.5
3,2013-01-03,23.5
4,2013-01-04,167.5
5,2013-01-05,2.5
6,2013-01-06,8.0
7,2013-01-07,4.0
8,2013-01-09,3.0
9,2013-01-10,8.5
10,2013-01-11,13.5
11,2013-01-12,89.0
12,2013-01-13,7.0
13,2013-01-14,6.0
14,2013-01-15,7.0
15,2013-01-16,4.0
16,2013-01-18,13.5
17,2013-01-19,9.0
18,2013-01-20,6.0
19,2013-01-21,10.0
20,2013-01-22,4.0
21,2013-01-23,6.5
22,2013-01-24,24.0
23,2013-01-25,15.0
24,2013-01-26,17.5
25,2013-01-27,25.0
26,2013-01-28,5.5
27,2013-01-29,44.01
28,2013-01-30,2.0
29,2013-01-31,3.5
30,2013-02-01,11.5
31,2013-02-02,4.0
32,2013-02-03,8.55
33,2013-02-04,12.0
34,2013-02-05,7.5
35,2013-02-06,5.5
36,2013-02-07,16.0
37,2013-02-08,6.5
38,2013-02-09,14.0
39,2013-02-10,6.5
40,2013-02-12,5.01
41,2013-02-13,8.5
42,2013-02-14,10.0
43,2013-02-15,15.5
44,2013-02-16,12.5
45,2013-02-17,6.0
46,2013-02-18,7.5
47,2013-02-20,13.0
48,2013-02-21,13.5
49,2013-02-22,11.0
50,2013-02-23,5.5
51,2013-02-24,6.0
52,2013-02-25,44.0
53,2013-02-26,16.58
54,2013-02-27,5.5
55,2013-02-28,21.5
56,2013-03-01,11.0
57,2013-03-02,3.0
58,2013-03-03,8.5
59,2013-03-04,7.720000000000001
60,2013-03-05,6.5
61,2013-03-06,45.0
62,2013-03-07,7.5
63,2013-03-08,12.5
64,2013-03-09,5.5
65,2013-03-10,23.5
66,2013-03-11,29.5
67,2013-03-12,12.0
68,2013-03-13,11.0
69,2013-03-14,5.0
70,2013-03-15,35.0
71,2013-03-16,21.0
72,2013-03-17,6.5
73,2013-03-18,6.5
74,2013-03-19,14.0
75,2013-03-20,11.5
76,2013-03-21,4.0
77,2013-03-22,18.5
78,2013-03-23,14.0
79,2013-03-24,5.5
80,2013-03-25,16.5
81,2013-03-26,5.5
82,2013-03-27,13.0
83,2013-03-28,10.5
84,2013-03-29,4.5
85,2013-03-30,9.04
86,2013-03-31,13.0
87,2013-04-01,14.5
88,2013-04-02,3.5
89,2013-04-03,26.14
90,2013-04-04,9.0
91,2013-04-05,12.5
92,2013-04-06,13.0
93,2013-04-07,6.5
94,2013-04-08,20.5
95,2013-04-09,6.0
96,2013-04-10,17.0
97,2013-04-11,6.0
98,2013-04-12,30.65
99,2013-04-13,21.5
100,2013-04-14,9.0
101,2013-04-15,20.0
102,2013-04-16,4.0
103,2013-04-17,9.5
104,2013-04-19,6.0
105,2013-04-20,9.0
106,2013-04-21,5.0
107,2013-04-22,18.5
108,2013-04-23,8.45
109,2013-04-25,14.0
110,2013-04-26,9.0
111,2013-04-27,26.52
112,2013-04-28,5.0
113,2013-04-29,75.5
114,2013-04-30,3.54
115,2013-05-01,8.0
116,2013-05-02,15.5
117,2013-05-03,19.0
118,2013-05-04,12.0
119,2013-05-05,6.5
120,2013-05-06,785.73
121,2013-05-07,30.0
122,2013-05-08,17.5
123,2013-05-09,8.0
124,2013-05-10,18.5
125,2013-05-11,8.0
126,2013-05-12,32.0
127,2013-05-13,9.5
128,2013-05-14,24.0
129,2013-05-15,667.0
130,2013-05-16,22.0
131,2013-05-17,19.5
132,2013-05-18,29.5
133,2013-05-19,13.0
134,2013-05-20,46.25
135,2013-05-21,6.5
136,2013-05-22,18.5
137,2013-05-23,13.66
138,2013-05-24,13.0
139,2013-05-25,16.0
140,2013-05-26,8.0
141,2013-05-27,5.54
142,2013-05-28,42.0
143,2013-05-29,34.0
144,2013-05-30,17.0
145,2013-05-31,7.0
146,2013-06-01,23.5
147,2013-06-02,28.0
148,2013-06-03,19.0
149,2013-06-04,5.15
150,2013-06-05,38.0
151,2013-06-06,21.0
152,2013-06-07,23.5
153,2013-06-08,4.5
154,2013-06-09,3.0
155,2013-06-10,20.0
156,2013-06-11,29.11
157,2013-06-12,10.0
158,2013-06-13,13.5
159,2013-06-14,92.0
160,2013-06-15,38.0
161,2013-06-16,15.5
162,2013-06-17,50.0
163,2013-06-18,7.5
164,2013-06-19,14.5
165,2013-06-20,22.5
166,2013-06-21,18.5
167,2013-06-22,25.5
168,2013-06-23,7.0
169,2013-06-24,13.0
170,2013-06-25,417.0
171,2013-06-26,44.5
172,2013-06-27,19.0
173,2013-06-28,15.5
174,2013-06-29,24.5
175,2013-06-30,14.0
176,2013-07-01,18.0
177,2013-07-02,16.05
178,2013-07-03,3.0
179,2013-07-04,31.5
180,2013-07-05,51.5
181,2013-07-06,13.54
182,2013-07-07,7.11
183,2013-07-08,5.0
184,2013-07-09,14.0
185,2013-07-10,5.5
186,2013-07-11,13.44
187,2013-07-12,17.939999999999998
188,2013-07-13,13.0
189,2013-07-14,57.0
190,2013-07-15,8.0
191,2013-07-16,3.5
192,2013-07-17,36.5
193,2013-07-18,29.5
194,2013-07-19,12.0
195,2013-07-20,39.0
196,2013-07-21,42.5
197,2013-07-22,32.5
198,2013-07-23,5.5
199,2013-07-24,8.0
200,2013-07-25,11.5
201,2013-07-26,17.0
