Day,Date,Revenue
1,2013-01-02,1.0
2,2013-01-03,1.0
3,2013-01-04,2.0
4,2013-01-06,1.5
5,2013-01-07,1.5
6,2013-01-08,1.0
7,2013-01-10,1.0
8,2013-01-12,2.0
9,2013-01-13,2.0
10,2013-01-14,1.0
11,2013-01-15,2.5
12,2013-01-16,8.0
13,2013-01-17,1.0
14,2013-01-18,1.0
15,2013-01-19,1.0
16,2013-01-20,1.0
17,2013-01-22,1.0
18,2013-01-23,1.0
19,2013-01-24,3.0
20,2013-01-25,3.0
21,2013-01-27,1.5
22,2013-01-29,4.0
23,2013-02-02,2.0
24,2013-02-07,1.0
25,2013-02-09,3.5
26,2013-02-10,3.0
27,2013-02-11,1.0
28,2013-02-15,2.0
29,2013-02-16,1.0
30,2013-02-18,1.0
31,2013-02-19,37.0
32,2013-02-20,5.0
33,2013-02-21,6.05
34,2013-02-22,1.5
35,2013-02-24,1.5
36,2013-02-25,1.5
37,2013-03-01,3.0
38,2013-03-02,2.5
39,2013-03-04,6.0
40,2013-03-08,3.5
41,2013-03-10,1.0
42,2013-03-11,3.0
43,2013-03-12,6.5
44,2013-03-15,3.5
45,2013-03-17,1.0
46,2013-03-21,1.0
47,2013-03-23,2.0
48,2013-03-26,1.0
49,2013-03-28,3.0
50,2013-03-29,1.0
51,2013-04-01,6.0
52,2013-04-03,1.0
53,2013-04-09,1.0
54,2013-04-10,3.0
55,2013-04-11,3.0
56,2013-04-12,2.5
57,2013-04-15,43.5
58,2013-04-20,1.5
59,2013-04-21,51.0
60,2013-04-25,19.0
61,2013-04-27,2.0
62,2013-04-29,2.0
63,2013-04-30,1.0
64,2013-05-01,1.0
65,2013-05-02,7.0
66,2013-05-05,1.5
67,2013-05-06,2.0
68,2013-05-08,2.0
69,2013-05-10,4.0
70,2013-05-12,2.0
71,2013-05-14,3.0
72,2013-05-19,2.0
73,2013-05-20,3.0
74,2013-05-23,5.0
75,2013-05-25,1.0
76,2013-05-26,1.0
77,2013-05-28,1.0
78,2013-05-30,4.5
79,2013-06-03,2.0
80,2013-06-09,1.5
81,2013-06-15,1.0
82,2013-06-19,1.0
83,2013-06-21,1.0
84,2013-06-24,1.5
85,2013-06-25,1.5
86,2013-06-28,2.0
87,2013-06-29,2.0
88,2013-07-05,1.0
89,2013-07-09,0.75
90,2013-07-10,2.0
91,2013-07-13,2.0
92,2013-07-14,2.0
93,2013-07-18,0.5
94,2013-07-23,2.0
95,2013-07-25,2.0
96,2013-07-26,35.5
97,2013-07-28,1.0
98,2013-07-30,2.0
99,2013-08-05,2.5
100,2013-08-06,2.0
101,2013-08-07,1.0
102,2013-08-08,5.5
103,2013-08-09,1.0
104,2013-08-10,5.0
105,2013-08-12,5.0
106,2013-08-15,2.0
107,2013-08-16,1.75
108,2013-08-18,1.0
109,2013-08-19,1.0
110,2013-08-22,1.0
111,2013-08-24,2.0
112,2013-08-26,2.0
113,2013-08-28,15.0
114,2013-08-29,2.0
115,2013-08-31,1.0
116,2013-09-01,2.0
117,2013-09-03,1.0
118,2013-09-05,2.0
119,2013-09-06,2.5
120,2013-09-07,1.0
121,2013-09-11,1.0
122,2013-09-13,2.0
123,2013-09-20,1.0
124,2013-09-23,1.0
125,2013-09-26,1.0
126,2013-09-27,1.0
127,2013-09-28,1.0
128,2013-10-06,2.0
129,2013-10-09,1.0
130,2013-10-11,3.0
131,2013-10-12,2.5
132,2013-10-15,4.0
133,2013-10-17,3.0
134,2013-10-18,1.0
135,2013-10-19,1.0
136,2013-10-20,1.0
137,2013-10-21,4.0
138,2013-10-25,4.0
139,2013-10-27,1.0
140,2013-10-28,1.0
141,2013-10-29,1.0
142,2013-10-31,11.0
143,2013-11-02,3.5
144,2013-11-03,4.0
145,2013-11-04,28.0
146,2013-11-06,1.0
147,2013-11-08,0.5
148,2013-11-12,3.0
149,2013-11-13,1.0
150,2013-11-14,5.5
151,2013-11-15,2.0
152,2013-11-20,26.5
153,2013-11-22,7.5
154,2013-11-23,6.0
155,2013-11-25,2.0
