Day,Date,Revenue
1,2013-01-03,32.5
2,2013-01-05,2.5
3,2013-01-06,5.0
4,2013-01-12,4.0
5,2013-01-15,1.0
6,2013-01-17,4.0
7,2013-01-20,1.0
8,2013-01-21,3.0
9,2013-01-22,1.0
10,2013-01-23,1.5
11,2013-01-26,2.0
12,2013-01-28,2.0
13,2013-01-30,7.0
14,2013-02-05,5.0
15,2013-02-08,2.0
16,2013-02-09,1.0
17,2013-02-10,2.0
18,2013-02-13,2.0
19,2013-02-15,1.0
20,2013-02-16,7.0
21,2013-02-17,1.5
22,2013-02-19,1.0
23,2013-02-22,3.5
24,2013-02-23,3.0
25,2013-02-24,2.0
26,2013-02-25,1.0
27,2013-03-01,3.5
28,2013-03-02,2.0
29,2013-03-05,2.0
30,2013-03-07,4.0
31,2013-03-09,2.0
32,2013-03-11,2.0
33,2013-03-13,3.0
34,2013-03-14,1.0
35,2013-03-15,6.0
36,2013-03-16,2.5
37,2013-03-19,4.0
38,2013-03-20,3.0
39,2013-03-21,11.0
40,2013-03-23,2.0
41,2013-03-26,2.0
42,2013-03-28,2.0
43,2013-03-29,7.0
44,2013-04-02,5.0
45,2013-04-03,2.0
46,2013-04-04,7.0
47,2013-04-07,35.0
48,2013-04-12,4.0
49,2013-04-14,7.0
50,2013-04-15,4.0
51,2013-04-18,4.0
52,2013-04-21,3.0
53,2013-04-27,9.0
54,2013-04-29,3.0
55,2013-04-30,1.0
56,2013-05-01,3.0
57,2013-05-02,3.0
58,2013-05-05,2.0
59,2013-05-06,33.0
60,2013-05-08,1.5
61,2013-05-10,5.0
62,2013-05-11,3.0
63,2013-05-12,2.0
64,2013-05-14,1.0
65,2013-05-15,3.0
66,2013-05-18,2.0
67,2013-05-21,19.5
68,2013-05-22,5.58
69,2013-05-23,2.0
70,2013-05-24,46.5
71,2013-05-26,2.0
72,2013-05-28,4.0
73,2013-05-29,1.0
74,2013-05-31,0.75
75,2013-06-02,2.0
76,2013-06-04,1.0
77,2013-06-06,1.0
78,2013-06-07,3.5
79,2013-06-08,5.0
80,2013-06-12,22.5
81,2013-06-13,5.5
82,2013-06-15,1.5
83,2013-06-19,4.0
84,2013-06-22,3.0
85,2013-06-23,3.0
86,2013-06-24,1.0
87,2013-06-25,2.0
88,2013-06-27,4.0
89,2013-06-30,4.5
90,2013-07-02,8.5
91,2013-07-03,0.5
92,2013-07-04,2.5
93,2013-07-07,12.0
94,2013-07-09,2.0
95,2013-07-11,7.0
96,2013-07-13,6.0
97,2013-07-14,4.0
98,2013-07-16,19.0
99,2013-07-17,12.0
100,2013-07-20,3.0
101,2013-07-21,1.5
102,2013-07-22,2.0
103,2013-07-26,6.5
104,2013-07-28,2.5
105,2013-07-31,1.0
106,2013-08-01,5.0
107,2013-08-02,3.0
108,2013-08-05,1.0
109,2013-08-06,7.0
110,2013-08-07,2.0
111,2013-08-09,6.0
112,2013-08-10,2.0
113,2013-08-14,5.0
114,2013-08-16,3.0
115,2013-08-18,2.0
116,2013-08-19,23.5
117,2013-08-20,5.0
118,2013-08-25,5.0
119,2013-08-26,4.0
120,2013-08-29,3.0
121,2013-09-01,2.5
122,2013-09-03,10.5
123,2013-09-04,4.5
124,2013-09-05,10.0
125,2013-09-06,6.0
126,2013-09-07,5.0
127,2013-09-09,40.08
128,2013-09-13,5.0
129,2013-09-14,7.0
130,2013-09-15,2.5
131,2013-09-16,3.5
132,2013-09-19,3.0
133,2013-09-26,2.0
134,2013-09-27,12.45
135,2013-09-29,0.5
136,2013-09-30,2.0
137,2013-10-01,1.5
138,2013-10-05,1.86
139,2013-10-08,1.0
140,2013-10-09,1.0
141,2013-10-11,2.0
142,2013-10-13,2.0
143,2013-10-15,5.0
144,2013-10-18,2.0
145,2013-10-24,3.0
146,2013-10-25,1.0
147,2013-10-26,3.0
148,2013-10-27,1.0
149,2013-10-28,3.0
150,2013-10-30,1.5
151,2013-10-31,3.0
152,2013-11-04,0.75
153,2013-11-05,3.0
154,2013-11-06,1.0
155,2013-11-07,1.0
156,2013-11-08,2.0
157,2013-11-10,6.0
158,2013-11-11,3.0
159,2013-11-12,3.5
160,2013-11-13,1.0
161,2013-11-15,0.75
162,2013-11-16,0.5
163,2013-11-17,0.5
164,2013-11-18,0.5
165,2013-11-19,2.0
166,2013-11-21,4.0
167,2013-11-22,1.0
168,2013-11-23,1.0
169,2013-11-24,1.0
170,2013-11-26,1.0
171,2013-11-28,2.0
172,2013-11-29,4.5
173,2013-11-30,1.0
174,2013-12-01,4.0
175,2013-12-02,4.0
176,2013-12-03,1.0
177,2013-12-04,1.0
178,2013-12-08,6.0
179,2013-12-13,1.0
180,2013-12-14,11.5
181,2013-12-17,3.0
182,2013-12-18,0.5
183,2013-12-19,2.0
184,2013-12-20,2.0
185,2013-12-21,2.0
186,2013-12-24,2.5
187,2013-12-25,2.0
188,2013-12-26,1.0
189,2013-12-28,1.0
190,2013-12-31,3.5
191,2014-01-02,99.64999999999999
192,2014-01-03,83.45
193,2014-01-04,74.69999999999999
194,2014-01-05,7.65
195,2014-01-07,49.7
196,2014-01-08,109.89999999999999
197,2014-01-12,36.349999999999994
198,2014-01-13,70.05
199,2014-01-14,56.0
200,2014-01-15,33.7
201,2014-01-16,19.9
202,2014-01-17,28.4
203,2014-01-18,119.05
204,2014-01-19,34.0
205,2014-01-20,15.85
206,2014-01-21,5.25
207,2014-01-22,89.1
208,2014-01-23,35.9
209,2014-01-24,8.45
210,2014-01-25,17.3
211,2014-01-26,62.45
212,2014-01-27,74.2
213,2014-01-28,13.05
214,2014-01-29,70.8
215,2014-01-30,77.95
216,2014-01-31,10.5
217,2014-02-01,12.45
218,2014-02-02,13.7
219,2014-02-03,55.15
220,2014-02-04,22.65
221,2014-02-05,21.5
222,2014-02-06,87.8
223,2014-02-07,62.3
224,2014-02-08,55.650000000000006
225,2014-02-09,117.79999999999998
226,2014-02-10,84.14999999999999
227,2014-02-11,37.55
228,2014-02-12,188.15000000000003
229,2014-02-13,38.4
230,2014-02-14,3.65
231,2014-02-15,130.55
232,2014-02-16,52.599999999999994
233,2014-02-17,22.3
234,2014-02-18,67.05
235,2014-02-19,3.45
236,2014-02-20,55.0
237,2014-02-21,44.4
238,2014-02-22,80.75
239,2014-02-23,36.75
240,2014-02-24,91.6
241,2014-02-25,54.15
242,2014-02-27,45.55
243,2014-02-28,27.799999999999997
244,2014-03-01,50.8
245,2014-03-02,26.1
246,2014-03-03,75.39999999999999
247,2014-03-04,117.1
248,2014-03-05,35.5
249,2014-03-06,97.6
250,2014-03-07,37.5
251,2014-03-08,92.2
252,2014-03-09,15.15
253,2014-03-10,133.6
254,2014-03-11,31.15
255,2014-03-12,170.25
256,2014-03-13,149.8
257,2014-03-14,70.85
258,2014-03-15,102.94999999999999
259,2014-03-16,32.5
260,2014-03-17,89.15
261,2014-03-18,8.3
262,2014-03-19,168.59999999999997
263,2014-03-20,83.6
264,2014-03-21,87.60000000000001
265,2014-03-22,113.65
266,2014-03-23,115.49999999999999
267,2014-03-24,155.13
268,2014-03-25,54.3
269,2014-03-26,23.55
270,2014-03-27,183.79999999999998
271,2014-03-28,9.1
272,2014-03-29,15.15
273,2014-03-30,82.60000000000001
274,2014-03-31,103.44999999999999
275,2014-04-01,8.5
276,2014-04-02,115.85
277,2014-04-03,67.3
278,2014-04-04,104.0
279,2014-04-05,62.35
280,2014-04-07,57.75
281,2014-04-08,122.85000000000001
282,2014-04-09,181.65000000000003
283,2014-04-10,89.24999999999999
284,2014-04-11,126.49000000000001
285,2014-04-13,169.20000000000002
286,2014-04-14,75.8
287,2014-04-15,16.55
288,2014-04-16,79.95000000000002
289,2014-04-17,24.75
290,2014-04-18,96.7
291,2014-04-19,39.05
292,2014-04-20,45.24999999999999
293,2014-04-21,124.75
294,2014-04-22,66.75
295,2014-04-23,69.5
296,2014-04-24,68.35
297,2014-04-25,90.35
298,2014-04-26,51.35
299,2014-04-27,165.45
300,2014-04-28,111.25
301,2014-04-29,167.04999999999998
302,2014-04-30,48.8
303,2014-05-01,43.85
304,2014-05-02,98.95
305,2014-05-04,180.4
306,2014-05-05,193.05
307,2014-05-06,37.15
308,2014-05-07,62.4
309,2014-05-08,19.9
310,2014-05-09,62.15
311,2014-05-10,52.300000000000004
312,2014-05-11,26.1
313,2014-05-12,84.14999999999999
314,2014-05-13,50.8
315,2014-05-14,70.9
316,2014-05-15,92.6
317,2014-05-17,172.23
318,2014-05-18,88.59
319,2014-05-20,145.4
320,2014-05-21,188.4
321,2014-05-22,117.19999999999999
322,2014-05-23,132.21
323,2014-05-24,67.4
324,2014-05-25,117.85
325,2014-05-26,94.9
326,2014-05-27,98.0
327,2014-05-28,63.95
328,2014-05-29,53.42
329,2014-05-30,55.60000000000001
330,2014-05-31,69.25
331,2014-06-01,99.05000000000001
332,2014-06-02,77.1
333,2014-06-03,145.65000000000003
334,2014-06-04,63.95
335,2014-06-06,123.00000000000001
336,2014-06-07,109.5
337,2014-06-08,95.9
338,2014-06-09,111.8
339,2014-06-10,163.04999999999998
340,2014-06-11,51.1
341,2014-06-12,192.15000000000003
342,2014-06-13,161.45
343,2014-06-14,23.55
344,2014-06-15,95.94999999999999
345,2014-06-16,59.699999999999996
346,2014-06-17,128.0
347,2014-06-18,94.69
348,2014-06-19,80.30000000000001
349,2014-06-20,76.05
350,2014-06-21,65.46000000000001
351,2014-06-22,112.95
352,2014-06-23,84.2
353,2014-06-24,115.45
354,2014-06-25,74.0
355,2014-06-26,124.10000000000001
356,2014-06-27,151.3
357,2014-06-28,40.75
358,2014-06-29,33.3
359,2014-06-30,105.10000000000001
360,2014-07-01,48.95
361,2014-07-02,69.45
362,2014-07-03,85.6
363,2014-07-04,32.9
364,2014-07-05,56.2
365,2014-07-06,61.00000000000001
366,2014-07-07,100.95
367,2014-07-08,42.75
368,2014-07-09,60.8
369,2014-07-10,41.5
370,2014-07-11,46.9
371,2014-07-12,43.9
372,2014-07-13,159.64999999999998
373,2014-07-15,28.05
374,2014-07-16,162.5
375,2014-07-17,153.25
376,2014-07-18,96.89999999999999
377,2014-07-19,101.35
378,2014-07-20,169.85
379,2014-07-21,54.7
380,2014-07-22,73.15
381,2014-07-24,53.550000000000004
382,2014-07-25,90.39
383,2014-07-26,31.05
384,2014-07-27,28.150000000000002
385,2014-07-28,74.35
386,2014-07-29,32.55
387,2014-07-30,57.5
388,2014-07-31,98.8
389,2014-08-01,118.85
390,2014-08-02,52.0
391,2014-08-03,139.4
392,2014-08-04,117.79999999999998
393,2014-08-05,110.35
394,2014-08-06,24.700000000000003
395,2014-08-07,53.900000000000006
396,2014-08-08,76.2
397,2014-08-09,56.900000000000006
398,2014-08-10,158.5
399,2014-08-11,30.0
400,2014-08-12,111.85
401,2014-08-13,95.35
402,2014-08-14,169.14999999999998
403,2014-08-15,55.8
404,2014-08-16,54.15
405,2014-08-17,35.9
406,2014-08-18,49.900000000000006
407,2014-08-19,84.9
408,2014-08-20,67.7
409,2014-08-21,52.15
410,2014-08-22,104.85
411,2014-08-23,8.7
412,2014-08-24,193.29999999999998
413,2014-08-25,57.75
414,2014-08-26,190.6
415,2014-08-27,17.65
416,2014-08-28,176.29999999999998
417,2014-08-29,75.60000000000001
418,2014-08-30,114.31
419,2014-08-31,39.03
420,2014-09-01,27.8
421,2014-09-02,178.39999999999998
422,2014-09-03,6.25
423,2014-09-04,150.5
424,2014-09-05,64.05
425,2014-09-07,122.10000000000001
426,2014-09-08,182.95000000000002
427,2014-09-09,27.25
428,2014-09-10,124.5
429,2014-09-11,66.25
430,2014-09-12,38.95
431,2014-09-13,47.6
432,2014-09-14,40.95
433,2014-09-15,123.85
434,2014-09-16,83.45
435,2014-09-17,91.4
436,2014-09-18,106.20000000000002
437,2014-09-19,64.35000000000001
438,2014-09-20,187.35000000000002
439,2014-09-21,63.4
440,2014-09-22,107.75000000000001
441,2014-09-23,146.7
442,2014-09-24,176.75
443,2014-09-25,109.69999999999999
444,2014-09-26,130.15
445,2014-09-27,43.95
446,2014-09-28,134.65
447,2014-09-29,189.07000000000002
448,2014-09-30,20.55
449,2014-10-01,69.8
450,2014-10-02,81.14999999999999
451,2014-10-03,48.05
452,2014-10-04,156.95
453,2014-10-05,38.7
454,2014-10-06,104.85
455,2014-10-07,133.99999999999997
456,2014-10-08,167.65
457,2014-10-10,105.85
458,2014-10-11,4.45
459,2014-10-12,91.10000000000001
460,2014-10-13,190.25000000000003
461,2014-10-14,44.55
462,2014-10-15,66.15
463,2014-10-16,169.59
464,2014-10-17,39.1
465,2014-10-18,104.55000000000001
466,2014-10-19,157.23999999999998
467,2014-10-20,160.4
468,2014-10-21,83.4
469,2014-10-22,44.9
470,2014-10-23,118.05000000000001
471,2014-10-24,186.15
472,2014-10-25,35.5
473,2014-10-26,37.65
474,2014-10-27,144.1
475,2014-10-28,97.85000000000001
476,2014-10-29,84.8
477,2014-10-30,135.14999999999998
478,2014-10-31,15.15
479,2014-11-01,85.45
480,2014-11-02,86.9
481,2014-11-03,88.60000000000001
482,2014-11-04,44.3
483,2014-11-05,28.05
484,2014-11-06,43.45
485,2014-11-07,54.65
486,2014-11-08,12.7
487,2014-11-09,35.5
488,2014-11-10,64.46000000000001
489,2014-11-11,36.6
490,2014-11-12,72.55
491,2014-11-13,184.3
492,2014-11-14,85.30000000000001
493,2014-11-15,50.19999999999999
494,2014-11-16,50.050000000000004
495,2014-11-17,140.54999999999998
496,2014-11-18,47.1
497,2014-11-19,111.19999999999999
498,2014-11-20,63.75
499,2014-11-21,36.3
500,2014-11-22,117.55
501,2014-11-23,42.7
502,2014-11-24,191.16
503,2014-11-25,46.199999999999996
504,2014-11-26,15.7
505,2014-11-27,187.75
506,2014-11-28,81.5
507,2014-11-29,27.15
508,2014-11-30,23.15
509,2014-12-01,90.75
510,2014-12-02,121.64999999999998
511,2014-12-03,78.47
512,2014-12-04,123.00000000000001
513,2014-12-05,145.95000000000002
514,2014-12-06,163.0
515,2014-12-07,45.85
516,2014-12-08,106.2
517,2014-12-09,85.15
518,2014-12-10,51.349999999999994
519,2014-12-11,94.94999999999999
520,2014-12-12,76.65
521,2014-12-13,47.099999999999994
522,2014-12-14,69.0
523,2014-12-15,190.85
524,2014-12-16,100.85
525,2014-12-17,167.23999999999998
526,2014-12-18,153.2
527,2014-12-19,106.05
528,2014-12-20,180.20000000000002
529,2014-12-21,25.95
530,2014-12-22,121.49999999999999
531,2014-12-23,49.75
532,2014-12-24,107.05
533,2014-12-25,178.20000000000002
534,2014-12-26,112.35000000000001
535,2014-12-27,59.55
536,2014-12-28,8.9
537,2014-12-29,85.0
538,2014-12-30,79.64999999999999
539,2015-01-01,68.9
540,2015-01-02,61.650000000000006
541,2015-01-03,27.1
542,2015-01-04,27.7
543,2015-01-05,127.99999999999999
544,2015-01-06,125.14999999999999
545,2015-01-07,81.9
546,2015-01-08,122.9
547,2015-01-09,197.23000000000002
548,2015-01-10,79.4
549,2015-01-11,24.15
550,2015-01-13,76.15
551,2015-01-14,66.94
552,2015-01-15,173.3
553,2015-01-16,33.5
554,2015-01-17,76.10000000000001
555,2015-01-18,44.85
556,2015-01-19,61.5
557,2015-01-20,26.45
558,2015-01-21,134.75
559,2015-01-22,93.85000000000001
