Date,Actual,Prediction
2017-01-01,4,3.137481423538217
2017-01-02,1,3.1061008244466617
2017-01-03,3,3.074620333671755
2017-01-04,1,3.0430397195593812
2017-01-05,3,3.0113587501609764
2017-01-07,1,2.979577193233637
2017-01-08,3,2.94769481624009
2017-01-09,3,2.91571138634863
2017-01-10,3,2.88362667043313
2017-01-11,2,2.8514404350731946
2017-01-12,4,2.8191524465539035
2017-01-13,3,2.786762470866061
2017-01-14,2,2.7542702737060156
2017-01-16,4,2.7216756204756987
2017-01-17,3,2.6889782762827594
2017-01-18,6,2.656178005940343
2017-01-19,7,2.62327457396726
2017-01-20,4,2.590267744587958
2017-01-21,1,2.5571572817324264
2017-01-22,2,2.523942949036338
2017-01-23,3,2.4906245098409068
2017-01-25,2,2.4572017271930235
2017-01-26,1,2.42367436384516
2017-01-27,5,2.3900421822553524
2017-01-28,2,2.3563049445873343
2017-01-29,2,2.3224624127104105
2017-01-31,2,2.288514348199487
2017-02-01,5,2.254460512335083
2017-02-02,5,2.220300666103318
2017-02-03,5,2.1860345701959716
2017-02-04,1,2.1516619850103713
2017-02-05,4,2.117182670649523
2017-02-06,2,2.0825963869219466
2017-02-07,4,2.047902893341883
2017-02-08,2,2.013101949129106
2017-02-09,6,1.9781933132090574
2017-02-10,4,1.943176744212698
2017-02-11,1,1.908052000476745
2017-02-12,1,1.8728188400433723
2017-02-13,2,1.8374770206604256
2017-02-15,3,1.802026299781454
2017-02-17,4,1.7664664345654408
2017-02-19,3,1.7307971818771237
2017-02-20,1,1.6950182982867905
2017-02-21,3,1.659129540070365
2017-02-22,4,1.6231306632093057
2017-02-23,6,1.5870214233908153
2017-02-24,4,1.5508015760075748
2017-02-25,1,1.5144708761579944
2017-02-26,2,1.4780290786459926
2017-02-27,4,1.4414759379811533
2017-03-01,1,1.4048112083786628
2017-03-02,4,1.3680346437593096
2017-03-03,2,1.331145997749518
2017-03-04,1,1.294145023681262
2017-03-05,6,1.2570314745922047
2017-03-06,2,1.219805103225592
2017-03-07,3,1.1824656620302547
2017-03-09,4,1.1450129031606098
2017-03-11,5,1.1074465784768055
2017-03-12,5,1.0697664395444721
2017-03-15,3,1.031972237634929
2017-03-16,6,0.9940637237250529
2017-03-17,2,0.9560406484973769
2017-03-18,2,0.9179027623400104
2017-03-19,1,0.8796498153467063
2017-03-20,3,0.8412815573167873
2017-03-21,2,0.802797737755226
2017-03-23,2,0.7641981058725489
2017-03-24,5,0.7254824105850128
2017-03-25,4,0.6866504005143552
2017-03-26,3,0.6477018239879648
2017-03-27,2,0.6086364290388774
2017-03-28,4,0.5694539634057025
2017-03-29,5,0.5301541745326624
2017-03-30,1,0.4907368095696476
2017-03-31,4,0.45120161537204884
2017-04-01,2,0.4115483385009604
2017-04-02,1,0.37177672522306926
2017-04-03,6,0.33188652151064446
2017-04-04,4,0.2918774730415725
2017-04-05,5,0.25174932519936255
2017-04-08,3,0.21150182307316812
2017-04-09,2,0.17113471145768427
2017-04-10,2,0.13064773485326253
2017-04-12,2,0.09004063746585167
2017-04-14,4,0.04931316320699164
2017-04-15,3,0.008465055693891832
2017-04-16,3,-0.03250394175066937
2017-04-18,5,-0.0735940860983251
2017-04-19,3,-0.11480563461504689
2017-04-20,2,-0.15613884486126042
2017-04-21,3,-0.1975939746916846
2017-04-22,1,-0.23917128225554732
2017-04-23,1,-0.28087102599630603
2017-04-24,4,-0.3226934646519498
2017-04-25,6,-0.3646388572548712
2017-04-26,2,-0.4067074631316827
2017-04-27,5,-0.44889954190360354
2017-04-28,2,-0.4912153534860201
2017-04-29,2,-0.5336551580888975
2017-04-30,3,-0.5762192162164812
2017-05-01,4,-0.6189077886674548
2017-05-02,7,-0.6617211365348525
2017-05-03,2,-0.7046595212061354
2017-05-04,2,-0.7477232043631482
2017-05-05,5,-0.7909124479820652
2017-05-06,2,-0.8342275143335555
2017-05-07,1,-0.877668665982588
2017-05-08,3,-0.9212361657885527
2017-05-10,5,-0.9649302769052746
2017-05-11,2,-1.0087512627808333
2017-05-12,7,-1.052699387157883
2017-05-14,1,-1.0967749140733132
2017-05-15,4,-1.1409781078584675
2017-05-16,4,-1.1853092331390973
2017-05-17,5,-1.2297685548352493
2017-05-18,3,-1.2743563381615342
2017-05-19,4,-1.3190728486267598
2017-05-20,1,-1.3639183520342169
2017-05-21,1,-1.4088931144816352
2017-05-23,2,-1.4539974023610411
2017-05-24,1,-1.4992314823588602
2017-05-25,3,-1.544595621455927
2017-05-26,4,-1.590090086927557
2017-05-27,1,-1.6357151463432649
2017-05-28,2,-1.6814710675671096
2017-05-30,3,-1.7273581187575013
2017-06-01,2,-1.7733765683671778
2017-06-02,4,-1.819526685143343
2017-06-03,4,-1.8658087381275466
2017-06-04,1,-1.9122229966557631
2017-06-05,4,-1.9587697303583063
2017-06-06,4,-2.005449209159902
2017-06-07,3,-2.0522617032797466
2017-06-08,3,-2.0992074832312686
2017-06-09,1,-2.1462868198224063
2017-06-10,1,-2.1934999841554257
2017-06-11,6,-2.240847247627004
2017-06-12,3,-2.2883288819282477
2017-06-13,2,-2.3359451590445435
2017-06-14,3,-2.3836963512558036
2017-06-15,1,-2.431582731136243
2017-06-16,2,-2.4796045715544675
2017-06-18,1,-2.5277621456735155
2017-06-19,4,-2.5760557269507047
2017-06-21,2,-2.6244855891379646
2017-06-22,1,-2.6730520062813934
2017-06-23,1,-2.721755252721537
2017-06-24,1,-2.770595603093412
2017-06-25,2,-2.8195733323263386
2017-06-26,2,-2.8686887156440593
2017-06-27,4,-2.9179420285647066
2017-06-28,3,-2.9673335469007944
2017-06-29,3,-3.0168635467592235
2017-06-30,4,-3.066532304541295
2017-07-01,1,-3.116340096942677
2017-07-02,3,-3.166287200953425
2017-07-03,6,-3.2163738938580666
2017-07-04,1,-3.266600453235375
2017-07-05,4,-3.316967156958658
2017-07-06,4,-3.3674742831954934
2017-07-07,1,-3.4181221104079285
2017-07-09,3,-3.468910917352326
2017-07-10,6,-3.519840983079563
2017-07-11,3,-3.5709125869347793
2017-07-13,3,-3.622126008557519
2017-07-14,3,-3.6734815278818047
2017-07-15,2,-3.724979425135971
2017-07-17,5,-3.77661998084272
2017-07-18,1,-3.828403475819263
2017-07-19,5,-3.880330191177059
2017-07-20,4,-3.932400408322023
2017-07-21,1,-3.9846144089545046
2017-07-22,1,-4.036972475069115
2017-07-24,6,-4.089474888954983
2017-07-25,1,-4.142121933195583
2017-07-26,4,-4.194913890668741
2017-07-28,3,-4.247851044546723
2017-07-29,3,-4.300933678296152
2017-07-30,1,-4.3541620756780635
2017-07-31,5,-4.40753652074785
