Date,Actual,Prediction
2017-01-01,2,33.67617101655281
2017-01-02,1,33.63173832532454
2017-01-03,37,33.58717925446479
2017-01-04,51,33.54249333595991
2017-01-05,41,33.497680101006914
2017-01-06,48,33.452739080013146
2017-01-07,1,33.4076698025973
2017-01-08,1,33.362471797587766
2017-01-09,44,33.317144593024516
2017-01-10,34,33.27168771615761
2017-01-11,53,33.226100693448075
2017-01-12,53,33.18038305056758
2017-01-13,38,33.13453431239835
2017-01-14,6,33.088554003033344
2017-01-15,2,33.042441645776194
2017-01-16,4,32.996196763141164
2017-01-17,36,32.94981887685328
2017-01-18,56,32.90330750784826
2017-01-19,36,32.8566621762723
2017-01-20,83,32.80988240148235
2017-01-21,1,32.76296770204607
2017-01-23,37,32.71591759574202
2017-01-24,78,32.66873159955899
2017-01-25,50,32.621409229696745
2017-01-26,44,32.5739500015656
2017-01-27,61,32.52635342978657
2017-01-28,1,32.47861902819136
2017-01-29,2,32.430746309822354
2017-01-30,30,32.382734786932495
2017-01-31,48,32.33458397098571
2017-02-01,57,32.28629337265612
2017-02-02,63,32.23786250182894
2017-02-03,51,32.189290867599745
2017-02-04,1,32.14057797827527
2017-02-05,6,32.091723341372166
2017-02-06,35,32.04272646361841
2017-02-07,53,31.993586850952262
2017-02-08,54,31.944304008523105
2017-02-09,51,31.894877440690387
2017-02-10,76,31.845306651024558
2017-02-11,2,31.79559114230687
2017-02-12,1,31.745730416529142
2017-02-13,2,31.695723974893546
2017-02-14,37,31.64557131781347
2017-02-15,55,31.595271944912533
2017-02-16,35,31.54482535502523
2017-02-17,48,31.494231046196738
2017-02-18,3,31.443488515682937
2017-02-19,2,31.39259725995013
2017-02-21,53,31.341556774675475
2017-02-22,50,31.29036655474686
2017-02-23,62,31.239026094262925
2017-02-24,37,31.187534886532482
2017-02-25,1,31.1358924240757
2017-02-26,2,31.08409819862287
2017-02-27,61,31.032151701115275
2017-02-28,73,30.98005242170467
2017-03-01,27,30.927799849753818
2017-03-02,36,30.875393473835615
2017-03-03,28,30.822832781734085
2017-03-04,2,30.770117260443776
2017-03-05,1,30.71724639616977
2017-03-06,3,30.6642196743282
2017-03-07,45,30.611036579545384
2017-03-08,84,30.557696595658683
2017-03-09,59,30.504199205715974
2017-03-10,66,30.450543891975748
2017-03-11,2,30.396730135907283
2017-03-12,1,30.342757418190367
2017-03-13,74,30.288625218715925
2017-03-14,76,30.234333016584884
2017-03-15,64,30.179880290109452
2017-03-16,71,30.12526651681206
2017-03-17,35,30.0704911734259
2017-03-18,3,30.01555373589499
2017-03-19,3,29.960453679374208
2017-03-20,68,29.905190478228516
2017-03-21,40,29.849763606033942
2017-03-22,60,29.794172535577243
2017-03-23,60,29.738416738855552
2017-03-24,42,29.682495687076944
2017-03-25,3,29.626408850660233
2017-03-26,1,29.57015569923444
2017-03-27,52,29.513735701639565
2017-03-28,74,29.45714832592664
2017-03-29,45,29.40039303935671
2017-03-30,60,29.343469308401772
2017-03-31,72,29.28637659874464
2017-04-02,2,29.229114375278385
2017-04-03,30,29.171682102107525
2017-04-04,52,29.11407924254632
2017-04-05,32,29.056305259120336
2017-04-06,44,28.998359613565594
2017-04-07,60,28.940241766828787
2017-04-08,2,28.88195117906735
2017-04-09,1,28.82348730964933
2017-04-10,48,28.764849617153295
2017-04-11,58,28.706037559368788
2017-04-12,73,28.647050593296044
2017-04-13,58,28.587888175145384
2017-04-14,42,28.528549760338592
2017-04-15,5,28.469034803507714
2017-04-16,2,28.409342758495285
2017-04-17,52,28.349473078354965
2017-04-18,74,28.289425215350743
2017-04-19,58,28.229198620957522
2017-04-20,56,28.168792745860593
2017-04-21,64,28.108207039956245
2017-04-22,8,28.047440952351085
2017-04-23,2,27.986493931362507
2017-04-24,37,27.92536542451904
2017-04-25,58,27.864054878559088
2017-04-26,68,27.802561739432452
2017-04-27,59,27.74088545229912
2017-04-28,42,27.679025461529942
2017-04-29,2,27.61698121070619
2017-04-30,1,27.554752142620558
2017-05-01,27,27.49233769927537
2017-05-02,37,27.42973732188441
2017-05-03,56,27.366950450871688
2017-05-04,55,27.303976525872372
2017-05-05,31,27.24081498573164
2017-05-06,2,27.177465268505685
2017-05-07,1,27.1139268114619
2017-05-08,22,27.050199051077126
2017-05-09,46,26.986281423040076
2017-05-10,33,26.922173362249406
2017-05-11,41,26.857874302814775
2017-05-12,45,26.793383678056422
2017-05-13,3,26.728700920505172
2017-05-14,1,26.663825461902587
2017-05-15,35,26.598756733201096
2017-05-16,57,26.533494164563297
2017-05-17,50,26.46803718536314
2017-05-18,67,26.402385224184666
2017-05-19,58,26.336537708822785
2017-05-20,3,26.27049406628323
2017-05-21,1,26.204253722782248
2017-05-22,34,26.137816103746783
2017-05-23,59,26.071180633814574
2017-05-24,44,26.00434673683368
2017-05-25,57,25.937313835863144
2017-05-26,52,25.87008135317266
2017-05-29,1,25.802648710242508
2017-05-30,47,25.735015327763694
2017-05-31,51,25.66718062563788
2017-06-01,39,25.599144022977363
2017-06-02,31,25.530904938105085
2017-06-03,2,25.462462788555015
2017-06-04,1,25.393816991071027
2017-06-05,29,25.32496696160856
2017-06-06,29,25.255912115332894
2017-06-07,50,25.186651866620867
2017-06-08,39,25.117185629059005
2017-06-09,38,25.047512815445284
2017-06-10,2,24.9776328377883
2017-06-11,2,24.90754510730647
2017-06-12,39,24.83724903443011
2017-06-13,33,24.766744028799483
2017-06-14,62,24.69602949926541
2017-06-15,34,24.62510485388976
2017-06-16,44,24.55396949994503
2017-06-17,3,24.48262284391426
2017-06-18,2,24.411064291491055
2017-06-19,48,24.33929324757998
2017-06-20,56,24.267309116296097
2017-06-21,32,24.19511130096519
2017-06-22,36,24.122699204123492
2017-06-23,39,24.050072227518577
2017-06-24,2,23.9772297721077
2017-06-25,1,23.904171238059675
2017-06-26,46,23.83089602475352
