Date,Actual,Prediction
2017-01-01,151,117.95325654853274
2017-01-02,69,117.56762884127158
2017-01-03,64,117.18327431074101
2017-01-04,82,116.8001979063217
2017-01-05,81,116.41840458242018
2017-01-06,99,116.03789929846864
2017-01-07,121,115.65868701892312
2017-01-08,81,115.28077271326345
2017-01-09,75,114.90416135599517
2017-01-10,82,114.52885792664878
2017-01-11,97,114.15486740977818
2017-01-12,109,113.7821947949628
2017-01-13,129,113.41084507680623
2017-01-14,146,113.04082325493768
2017-01-15,86,112.67213433400937
2017-01-16,72,112.30478332370002
2017-01-17,84,111.93877523871129
2017-01-18,96,111.57411509877141
2017-01-19,90,111.21080792863103
2017-01-20,139,110.84885875806688
2017-01-22,119,110.48827262188009
2017-01-23,82,110.12905455989652
2017-01-24,96,109.77120961696652
2017-01-25,80,109.41474284296461
2017-01-26,93,109.05965929279122
2017-01-27,144,108.70596402636986
2017-01-28,138,108.35366210864947
2017-01-29,114,108.00275860960498
2017-01-30,105,107.65325860423296
2017-01-31,90,107.30516717255699
2017-02-01,97,106.95848939962511
2017-02-02,110,106.61323037550898
2017-02-03,117,106.2693951953054
2017-02-04,151,105.92698895913547
2017-02-05,108,105.58601677214703
2017-02-06,81,105.2464837445088
2017-02-07,85,104.90839499141686
2017-02-08,82,104.57175563309241
2017-02-09,99,104.2365707947793
2017-02-10,108,103.90284560674657
2017-02-11,151,103.57058520428853
2017-02-12,89,103.23979472772459
2017-02-13,86,102.9104793223972
2017-02-14,79,102.58264413867471
2017-02-15,75,102.25629433194928
2017-02-16,104,101.93143506263891
2017-02-17,114,101.60807149618533
2017-02-18,143,101.28620880305469
2017-02-19,91,100.96585215873871
2017-02-20,65,100.64700674375332
2017-02-21,89,100.32967774363885
2017-02-22,71,100.01387034896
2017-02-23,96,99.6995897553074
2017-02-24,119,99.38684116329505
2017-02-25,135,99.07562977856189
2017-02-26,92,98.76596081177276
2017-02-27,87,98.45783947861506
2017-02-28,92,98.151270999802
2017-03-01,93,97.84626060107088
2017-03-02,94,97.54281351318562
2017-03-03,129,97.24093497193203
2017-03-04,158,96.94063021812133
2017-03-05,97,96.64190449759106
2017-03-06,71,96.34476306120172
2017-03-07,106,96.04921116483848
2017-03-08,96,95.75525406941247
2017-03-09,91,95.462897040858
2017-03-10,123,95.17214535013449
2017-03-12,129,94.88300427322592
2017-03-13,94,94.59547909114234
2017-03-14,87,94.30957508991632
2017-03-15,94,94.02529756060645
2017-03-16,97,93.74265179929502
2017-03-19,108,93.46164310708978
2017-03-20,92,93.18227679012331
2017-03-21,82,92.90455815955147
2017-03-22,76,92.62849253155579
2017-03-23,114,92.35408522734339
2017-03-24,124,92.08134157314366
2017-03-25,129,91.81026690021265
2017-03-26,105,91.54086654483068
2017-03-27,90,91.27314584830143
2017-03-28,61,91.00711015695494
2017-03-29,90,90.7427648221444
2017-03-30,97,90.4801152002498
2017-03-31,127,90.21916665267322
2017-04-02,121,89.9599245458428
2017-04-03,74,89.70239425121105
2017-04-04,92,89.44658114525501
2017-04-05,102,89.19249060947705
2017-04-06,93,88.94012803040326
2017-04-07,115,88.6894987995851
2017-04-08,149,88.44060831359776
2017-04-09,108,88.19346197404259
2017-04-10,116,87.94806518754422
2017-04-11,95,87.70442336575188
2017-04-12,95,87.46254192534074
2017-04-13,111,87.2224262880091
2017-04-14,137,86.98408188048109
2017-04-15,122,86.74751413450522
2017-04-16,60,86.51272848685394
2017-04-17,83,86.27973037932598
2017-04-18,92,86.04852525874206
2017-04-19,100,85.81911857695
2017-04-20,81,85.5915157908213
2017-04-21,109,85.36572236225213
2017-04-22,131,85.14174375816384
2017-04-23,102,84.91958545050122
2017-04-24,67,84.69925291623429
2017-04-25,84,84.48075163735867
2017-04-26,75,84.26408710089343
2017-04-27,85,84.04926479888229
2017-04-28,104,83.83629022839531
2017-04-29,126,83.62516889152386
2017-04-30,59,83.41590629538835
2017-05-01,113,83.20850795212984
2017-05-02,96,83.00297937891618
2017-05-03,98,82.79932609793914
2017-05-04,110,82.59755363641644
2017-05-05,145,82.39766752658765
2017-05-07,95,82.19967330572058
2017-05-08,69,82.00357651610442
2017-05-09,72,81.80938270505499
2017-05-10,96,81.61709742491212
2017-05-11,72,81.4267262330408
2017-05-12,106,81.23827469182913
2017-05-13,120,81.05174836869209
2017-05-14,67,80.86715283606846
2017-05-15,60,80.68449367141994
2017-05-16,90,80.50377645723559
2017-05-17,86,80.32500678102683
2017-05-18,109,80.1481902353316
2017-05-19,134,79.97333241771145
2017-05-20,133,79.80043893075293
2017-05-21,94,79.62951538206624
2017-05-22,98,79.46056738428813
2017-05-23,81,79.29360055507777
2017-05-24,71,79.12862051712192
2017-05-25,81,78.96563289812902
2017-05-26,108,78.80464333083353
2017-05-27,94,78.64565745299446
2017-05-28,82,78.48868090739435
2017-05-29,39,78.33371934184365
2017-05-30,79,78.18077840917383
2017-05-31,68,78.02986376724256
2017-06-01,64,77.88098107893201
2017-06-02,104,77.73413601214914
2017-06-04,91,77.58933423982525
2017-06-05,88,77.44658143991647
2017-06-06,73,77.30588329540483
2017-06-07,85,77.16724549429361
2017-06-08,96,77.03067372961401
2017-06-09,152,76.89617369942147
2017-06-11,143,76.76375110679419
2017-06-12,69,76.63341165983707
2017-06-13,66,76.50516107167776
2017-06-14,91,76.379005060471
2017-06-15,80,76.25494934939306
2017-06-16,95,76.13299966664789
2017-06-17,107,76.0131617454625
2017-06-18,64,75.89544132408803
2017-06-19,64,75.77984414580293
2017-06-20,69,75.66637595890585
2017-06-21,89,75.55504251672461
2017-06-22,95,75.44584957760824
2017-06-23,76,75.33880290493406
2017-06-24,90,75.23390826710008
2017-06-25,78,75.13117143753182
2017-06-26,57,75.03059819467734
2017-06-27,59,74.93219432201026
2017-06-28,55,74.8359656080307
2017-06-29,73,74.74191784626029
2017-06-30,93,74.65005683524726
2017-07-01,109,74.560388378564
2017-07-02,86,74.47291828480736
2017-07-03,48,74.38765236759822
2017-07-04,46,74.3045964455846
2017-07-05,54,74.22375634243689
2017-07-06,61,74.1451378868493
2017-07-07,60,74.06874691254377
2017-07-09,128,73.9945892582645
2017-07-10,61,73.92267076778096
2017-07-11,57,73.85299728988731
2017-07-12,66,73.78557467840368
2017-07-13,62,73.72040879217161
2017-07-14,85,73.65750549505988
2017-07-15,92,73.59687065596192
2017-07-16,75,73.53851014879541
2017-07-17,67,73.48242985250108
2017-07-18,59,73.42863565104602
2017-07-19,66,73.37713343342341
2017-07-20,76,73.32792909364667
2017-07-21,105,73.28102853075839
2017-07-22,106,73.23643764882351
2017-07-23,79,73.19416235693102
2017-07-24,76,73.15420856919727
2017-07-25,57,73.11658220475988
2017-07-26,66,73.08128918778397
2017-07-27,54,73.04833544745804
2017-07-28,72,73.01772691799427
2017-07-29,88,72.98946953863127
2017-07-30,57,72.96356925363179
2017-07-31,72,72.9400320122831
