Date,Actual,Prediction
2017-01-01,130,113.25168939996003
2017-01-02,70,112.93121570069161
2017-01-03,105,112.61130800677785
2017-01-04,86,112.29196900303522
2017-01-05,114,111.97320137682912
2017-01-06,124,111.65500781807339
2017-01-07,131,111.33739101922868
2017-01-08,77,111.02035367530539
2017-01-09,90,110.70389848386111
2017-01-10,100,110.38802814500275
2017-01-11,119,110.07274536138394
2017-01-12,125,109.75805283820765
2017-01-13,117,109.44395328322547
2017-01-14,115,109.13044940673534
2017-01-15,97,108.81754392158575
2017-01-16,101,108.50523954317084
2017-01-17,102,108.19353898943588
2017-01-18,88,107.88244498087204
2017-01-19,115,107.57196024051973
2017-01-20,125,107.26208749396719
2017-01-21,151,106.9528294693515
2017-01-22,91,106.64418889735718
2017-01-23,101,106.33616851121737
2017-01-24,84,106.02877104671349
2017-01-25,75,105.72199924217497
2017-01-26,116,105.41585583847971
2017-01-27,120,105.11034357905335
2017-01-28,139,104.8054652098706
2017-01-29,109,104.50122347945373
2017-01-30,104,104.19762113887296
2017-01-31,95,103.89466094174765
2017-02-01,110,103.59234564424492
2017-02-02,125,103.29067800507939
2017-02-03,109,102.9896607855153
2017-02-04,106,102.68929674936382
2017-02-05,116,102.38958866298523
2017-02-06,91,102.09053929528847
2017-02-07,97,101.79215141772852
2017-02-08,86,101.49442780431056
2017-02-09,79,101.19737123158785
2017-02-10,73,100.90098447866093
2017-02-11,130,100.6052703271794
2017-02-12,88,100.31023156134039
2017-02-13,89,100.01587096789007
2017-02-14,80,99.72219133612221
2017-02-15,82,99.42919545787893
2017-02-16,87,99.13688612755068
2017-02-17,110,98.84526614207572
2017-02-18,107,98.55433830094175
2017-02-19,103,98.26410540618286
2017-02-20,70,97.97457026238268
2017-02-21,107,97.68573567667283
2017-02-22,106,97.39760445873283
2017-02-23,115,97.11017942079091
2017-02-24,126,96.82346337762262
2017-02-25,142,96.53745914655295
2017-02-26,103,96.2521695474541
2017-02-27,75,95.9675974027471
2017-02-28,115,95.68374553740094
2017-03-01,98,95.40061677893289
2017-03-02,102,95.11821395740797
2017-03-03,136,94.83653990544049
2017-03-04,147,94.5555974581921
2017-03-05,107,94.27538945337314
2017-03-06,86,93.99591873124139
2017-03-07,93,93.71718813460448
2017-03-08,92,93.43920050881567
2017-03-09,116,93.16195870177948
2017-03-10,108,92.88546556394591
2017-03-12,107,92.60972394831543
2017-03-13,101,92.3347367104352
2017-03-14,123,92.06050670840106
2017-03-15,131,91.78703680285732
2017-03-16,129,91.51432985699661
2017-03-17,155,91.24238873655851
2017-03-19,123,90.97121630983263
2017-03-20,104,90.70081544765578
2017-03-21,99,90.43118902341283
2017-03-22,119,90.16233991303811
