Day,Date,Rides,20_ExpMA
1,2013-01-01,10,10.0
2,2013-01-02,58,35.2
3,2013-01-03,60,44.306411323896754
4,2013-01-04,35,41.61979426433915
5,2013-01-05,5,32.761777659480515
6,2013-01-06,6,27.11626498182862
7,2013-01-07,93,39.573248532052645
8,2013-01-08,94,48.981186006284496
9,2013-01-09,116,59.731331476899776
10,2013-01-10,86,63.687165342822055
11,2013-01-11,72,64.87334720371531
12,2013-01-12,11,57.53428052547678
13,2013-01-13,7,50.92116090588569
14,2013-01-14,76,54.09017961112793
15,2013-01-15,75,56.65263735546876
16,2013-01-16,99,61.70426441689133
17,2013-01-17,72,62.90359862728961
18,2013-01-18,81,64.96775618548516
19,2013-01-19,3,58.030045435413
20,2013-01-20,3,51.97036833637171
21,2013-01-21,7,47.091014117680274
22,2013-01-22,68,49.32997495232439
23,2013-01-23,93,53.95148349638642
24,2013-01-24,100,58.7736370478029
25,2013-01-25,86,61.59797669901713
26,2013-01-26,4,55.673366965953996
27,2013-01-27,3,50.29630071612039
28,2013-01-28,103,55.63988594547025
29,2013-01-29,88,58.90079346321822
30,2013-01-30,113,64.32234713410621
31,2013-01-31,96,67.48120268257898
32,2013-02-01,79,68.62471892066115
33,2013-02-02,8,62.63045686149286
34,2013-02-03,6,57.0514167916381
35,2013-02-04,85,59.79581865109755
36,2013-02-05,76,61.38229233932854
37,2013-02-06,69,62.12612169130668
38,2013-02-07,76,63.477580889994634
39,2013-02-08,146,71.4986939482376
40,2013-02-09,9,65.43576098406307
41,2013-02-10,7,59.776989787364286
42,2013-02-11,108,64.43932722666456
43,2013-02-12,4,58.60431169095067
44,2013-02-13,86,61.24573565401646
45,2013-02-14,100,64.97792341375431
46,2013-02-15,111,69.40531117621505
47,2013-02-16,3,63.023175783741124
48,2013-02-17,4,57.35546359144591
49,2013-02-18,5,52.33197379543208
50,2013-02-19,113,58.1489120608567
51,2013-02-20,105,62.638174079544115
52,2013-02-21,93,65.54574690146914
53,2013-02-22,107,69.51348895149333
54,2013-02-23,9,63.72426962517958
55,2013-02-24,8,58.395518674291175
56,2013-02-25,68,59.31361032930486
57,2013-02-26,99,63.10589512306679
58,2013-02-27,97,66.34366028729166
59,2013-02-28,97,69.27129238079489
60,2013-03-01,134,75.45117307908245
61,2013-03-02,13,69.49014039421343
62,2013-03-03,4,63.24036614315557
63,2013-03-04,4,57.58810166008875
64,2013-03-05,108,62.39718283252128
65,2013-03-06,95,65.50686296046267
66,2013-03-07,79,66.79366453879202
67,2013-03-08,109,70.81824181163093
68,2013-03-09,6,64.63823173561785
69,2013-03-10,3,58.76203601118924
70,2013-03-11,101,62.78834938390582
71,2013-03-12,47,61.28346270816974
72,2013-03-13,83,63.35324036394565
73,2013-03-14,94,66.2739404388646
74,2013-03-15,67,66.34313100102536
75,2013-03-16,6,60.59300568394467
76,2013-03-17,10,55.77222687868675
77,2013-03-18,78,57.89011054414254
78,2013-03-19,86,60.56833311437349
79,2013-03-20,76,62.038557168992305
80,2013-03-21,86,64.32136004248385
81,2013-03-22,99,67.62508371064719
82,2013-03-23,10,62.135483044822976
83,2013-03-24,10,57.16897320430656
84,2013-03-25,48,56.29554262713529
85,2013-03-26,92,59.696654265681715
86,2013-03-27,91,62.67847033152338
87,2013-03-28,90,65.2809511760609
88,2013-03-29,86,67.25448922188025
89,2013-03-30,4,61.229436483849554
90,2013-03-31,4,55.778346277640516
91,2013-04-01,73,57.41868555896437
92,2013-04-02,83,59.8552455255335
93,2013-04-03,98,63.48840887605117
94,2013-04-04,87,65.72779183394904
95,2013-04-05,67,65.848963514725
96,2013-04-06,5,60.05343474087357
97,2013-04-07,5,54.80993173054884
98,2013-04-08,82,57.39960447370298
99,2013-04-09,50,56.694845168001684
100,2013-04-10,65,57.48584790786276
101,2013-04-11,92,60.773043914944175
102,2013-04-12,79,62.50900847386238
103,2013-04-13,8,57.31750122156163
104,2013-04-14,6,52.42997269863998
105,2013-04-15,63,53.43666944442945
106,2013-04-16,67,54.728447114091
107,2013-04-17,101,59.135360144950205
108,2013-04-18,102,63.217789330070964
109,2013-04-19,97,66.43520157715575
110,2013-04-20,5,60.584133168618024
111,2013-04-21,6,55.385566457426464
112,2013-04-22,106,60.20605400259565
113,2013-04-23,66,60.75786514673192
114,2013-04-24,83,62.876187195261245
115,2013-04-25,88,65.2689552793414
116,2013-04-26,97,68.29098697178226
117,2013-04-27,12,62.92989656166463
118,2013-04-28,12,58.07939417830285
119,2013-04-29,79,60.07184622383958
120,2013-04-30,87,62.636447898193154
121,2013-05-01,106,66.76633273258064
122,2013-05-02,116,71.45527677329234
123,2013-05-03,101,74.26907261461687
124,2013-05-04,10,68.1481836062011
125,2013-05-05,10,62.61024093418282
126,2013-05-06,71,63.4092682732656
127,2013-05-07,87,65.65601141101303
128,2013-05-08,79,66.92687093837982
129,2013-05-09,107,70.74336885215091
130,2013-05-10,74,71.05352489305486
131,2013-05-11,9,65.14365342380928
132,2013-05-12,3,59.22519940788978
133,2013-05-13,75,60.72756385697238
134,2013-05-14,58,60.46779548138467
135,2013-05-15,50,59.47086122695226
136,2013-05-16,83,61.711734334708936
137,2013-05-17,82,63.64395225651011
138,2013-05-18,1,57.67785557544533
139,2013-05-19,9,53.04186511891411
140,2013-05-20,43,52.08549622634042
141,2013-05-21,60,52.83925905099366
142,2013-05-22,89,56.28314145834194
143,2013-05-23,107,61.11332140245675
144,2013-05-24,98,64.62634034647758
145,2013-05-25,2,58.661924008190525
146,2013-05-26,4,53.45602413664727
147,2013-05-27,7,49.03163908087577
148,2013-05-28,66,50.64767405051257
149,2013-05-29,69,52.39551520072814
150,2013-05-30,72,54.26260955517797
151,2013-05-31,125,60.99950572462214
152,2013-06-01,5,55.66621814624137
153,2013-06-02,11,51.41229165671915
154,2013-06-03,119,57.84921756389289
155,2013-06-04,74,59.38738760143529
156,2013-06-05,73,60.683827092323575
157,2013-06-06,73,61.85679611653596
158,2013-06-07,62,61.87043458347784
159,2013-06-08,4,56.358963946717665
160,2013-06-09,11,52.039062138766404
161,2013-06-10,91,55.74962802214939
162,2013-06-11,66,56.72585401353949
163,2013-06-12,65,57.5138679818195
164,2013-06-13,96,61.1792141610481
165,2013-06-14,87,63.63833678745505
166,2013-06-15,6,58.14897104476393
167,2013-06-16,7,53.27764020061388
168,2013-06-17,76,55.44167457512361
169,2013-06-18,112,60.828182001444475
170,2013-06-19,103,64.84454578428704
171,2013-06-20,80,66.287922429562
172,2013-06-21,92,68.73669180380261
173,2013-06-22,8,62.952244790482666
174,2013-06-23,6,57.528221328752245
175,2013-06-24,91,60.716009852517736
176,2013-06-25,81,62.64781848124382
177,2013-06-26,87,64.96707391096334
178,2013-06-27,130,71.1606860329573
179,2013-06-28,105,74.38347789278313
180,2013-06-29,9,68.15647990480936
181,2013-06-30,6,62.23681507161655
182,2013-07-01,111,66.88092797897444
183,2013-07-02,107,70.70179202343293
184,2013-07-03,62,69.87304991763146
185,2013-07-04,3,63.50418796278352
186,2013-07-05,40,61.26569385266785
187,2013-07-06,2,55.621342015148585
188,2013-07-07,6,50.895499886631015
189,2013-07-08,67,52.42926181153847
190,2013-07-09,75,54.578855936579544
191,2013-07-10,112,60.04753635085766
192,2013-07-11,97,63.56681861904389
193,2013-07-12,119,68.84616924831663
194,2013-07-13,4,62.67034358279798
195,2013-07-14,9,57.55888227210846
196,2013-07-15,73,59.02946491730853
197,2013-07-16,91,62.074277790660105
198,2013-07-17,68,62.63863228818519
199,2013-07-18,93,65.5301911243601
200,2013-07-19,100,68.81303007155167
201,2013-07-20,12,63.402265292909206
202,2013-07-21,4,57.744906684197154
203,2013-07-22,64,58.34062985802511
204,2013-07-23,87,61.070093684777795
205,2013-07-24,65,61.44437047716368
206,2013-07-25,125,67.49728758130692
207,2013-07-26,127,73.16421257926437
208,2013-07-27,7,66.86285899455133
209,2013-07-28,1,60.59020575180941
210,2013-07-29,103,64.62923377845601
211,2013-07-30,94,67.42644961096491
212,2013-07-31,84,69.00488298231191
213,2013-08-01,108,72.71870365271256
214,2013-08-02,95,74.84073187732324
215,2013-08-03,7,68.37970979085003
216,2013-08-04,7,62.53402314171325
217,2013-08-05,90,65.14983046251736
218,2013-08-06,115,69.8974656581517
219,2013-08-07,92,72.00246892944111
220,2013-08-08,63,71.14509093592619
221,2013-08-09,66,70.65508227524037
222,2013-08-10,11,64.97364586680091
223,2013-08-11,3,59.07139387828933
224,2013-08-12,85,61.54078493795305
225,2013-08-13,128,67.87023399253228
226,2013-08-14,91,70.07306885071728
227,2013-08-15,102,73.11372896058606
228,2013-08-16,65,72.34099286900664
229,2013-08-17,2,65.64185069026064
230,2013-08-18,4,59.77119824297816
231,2013-08-19,80,61.69775079144142
232,2013-08-20,68,62.297965001829795
233,2013-08-21,92,65.12673023996167
234,2013-08-22,111,69.49561307454576
235,2013-08-23,102,72.591268972397
236,2013-08-24,7,66.34448145087138
237,2013-08-25,8,60.787864169558404
238,2013-08-26,53,60.04616282004313
239,2013-08-27,66,60.61319493244316
240,2013-08-28,85,62.93574779610594
241,2013-08-29,89,65.41805752989325
242,2013-08-30,73,66.1401472889729
243,2013-08-31,14,61.1744189756013
244,2013-09-01,10,56.30066478732795
245,2013-09-02,5,51.41488718842521
246,2013-09-03,69,53.08965983718061
247,2013-09-04,100,57.5573112813407
248,2013-09-05,60,57.789948302169265
249,2013-09-06,107,62.47661989250931
250,2013-09-07,5,57.00265609314826
251,2013-09-08,6,52.14526027469341
252,2013-09-09,86,55.369521200948995
253,2013-09-10,102,59.81051918185574
254,2013-09-11,97,63.35237449790176
255,2013-09-12,96,66.4616721647939
256,2013-09-13,87,68.41770338720907
257,2013-09-14,1,61.99696973124105
258,2013-09-15,6,56.663924994899816
259,2013-09-16,55,56.50545594776562
260,2013-09-17,65,57.31446014322056
261,2013-09-18,97,61.09403536769283
262,2013-09-19,74,62.32317485648902
263,2013-09-20,63,62.3876343939665
264,2013-09-21,5,56.92214540404662
265,2013-09-22,9,52.35813155602835
266,2013-09-23,49,52.038309503072384
267,2013-09-24,55,52.32037526468524
268,2013-09-25,75,54.48033952519625
269,2013-09-26,82,57.10125957042097
270,2013-09-27,79,59.18685389705138
271,2013-09-28,6,54.12143924018092
272,2013-09-29,7,49.633683122061704
273,2013-09-30,92,53.6685704437756
274,2013-10-01,97,57.7953732586592
275,2013-10-02,77,59.624385329265124
276,2013-10-03,72,60.80301529790773
277,2013-10-04,79,62.53606146001333
278,2013-10-05,5,57.05643655905515
279,2013-10-06,9,52.479633077236954
280,2013-10-07,77,54.81490611750168
281,2013-10-08,94,58.54681982059903
282,2013-10-09,72,59.82807507578078
283,2013-10-10,96,63.27302030666053
284,2013-10-11,108,67.53273265840907
285,2013-10-12,8,61.86294859570113
286,2013-10-13,4,56.35219158658469
287,2013-10-14,6,51.55674476881311
288,2013-10-15,86,54.8370547908319
289,2013-10-16,118,60.85257338218289
290,2013-10-17,95,64.10470925054723
291,2013-10-18,114,68.85664170287714
292,2013-10-19,4,62.67981868355425
293,2013-10-20,5,57.186502618452835
294,2013-10-21,81,59.45445475002913
295,2013-10-22,83,61.69688763097908
296,2013-10-23,109,66.20194595183882
297,2013-10-24,103,69.7065225278546
298,2013-10-25,80,70.68685371567808
299,2013-10-26,7,64.62143907608908
300,2013-10-27,5,58.9432067831277
301,2013-10-28,89,61.80575851806815
302,2013-10-29,96,65.06235294491906
303,2013-10-30,109,69.24689075968895
304,2013-10-31,85,70.7471868778139
305,2013-11-01,142,77.53316907992723
306,2013-11-02,13,71.38715297707671
307,2013-11-03,8,65.35028126497389
308,2013-11-04,58,64.65025447783349
309,2013-11-05,82,66.30261119423037
310,2013-11-06,60,65.70236250906555
311,2013-11-07,100,68.96880417486892
312,2013-11-08,69,68.97177520583378
313,2013-11-09,5,62.87922518623041
314,2013-11-10,6,57.46215612087501
315,2013-11-11,6,52.560998395077284
316,2013-11-12,94,56.50756997649857
317,2013-11-13,72,57.983039502546355
318,2013-11-14,81,60.17513097849435
319,2013-11-15,91,63.11083279006636
320,2013-11-16,7,57.76694395291712
321,2013-11-17,10,53.21771119549639
322,2013-11-18,60,53.86364346259197
323,2013-11-19,99,58.1623440852023
324,2013-11-20,95,61.670692267564014
325,2013-11-21,85,63.8925310992246
326,2013-11-22,94,66.75990908977465
327,2013-11-23,5,60.87801298598655
328,2013-11-24,4,55.46105936827352
329,2013-11-25,76,57.41714895224748
330,2013-11-26,73,58.90123000441439
331,2013-11-27,90,61.8630176230416
332,2013-11-28,4,56.35225403989476
333,2013-11-29,41,54.89013460752383
334,2013-11-30,4,50.04345512109297
335,2013-12-01,7,45.94407844289363
336,2013-12-02,89,50.0446424007133
337,2013-12-03,103,55.088009791121564
338,2013-12-04,109,60.22248504910999
339,2013-12-05,79,62.010819806337615
340,2013-12-06,94,65.05740839621023
341,2013-12-07,9,59.718607596571154
342,2013-12-08,2,54.22159734927866
343,2013-12-09,80,56.67668331601403
344,2013-12-10,71,58.04080871448889
345,2013-12-11,82,60.32263645596614
346,2013-12-12,68,61.053813936350316
347,2013-12-13,80,62.85821260907886
348,2013-12-14,9,57.72885902726182
349,2013-12-15,10,53.18325340561783
350,2013-12-16,63,54.11818165270185
351,2013-12-17,75,56.10692625720643
352,2013-12-18,62,56.66817137556772
353,2013-12-19,86,59.46167886360888
354,2013-12-20,62,59.703423733741374
355,2013-12-21,5,54.49357385433743
356,2013-12-22,10,50.25609063011481
357,2013-12-23,54,50.61265342724674
358,2013-12-24,60,51.50668643417562
359,2013-12-25,7,47.26795439282556
360,2013-12-26,73,49.71862540303265
361,2013-12-27,39,48.69780393607715
362,2013-12-28,8,44.8218226088317
363,2013-12-29,2,40.74355378894296
364,2013-12-30,35,40.19654866618649
365,2013-12-31,22,38.463544031311585
366,2014-01-01,10,35.75273031404381
367,2014-01-02,72,39.20485123651583
368,2014-01-03,108,45.75677016637147
369,2014-01-04,4,41.77993491243132
370,2014-01-05,2,37.99136968267595
371,2014-01-06,13,35.611239236706815
372,2014-01-07,82,40.02921645225855
373,2014-01-08,93,45.07405298061488
374,2014-01-09,94,49.73366698246109
375,2014-01-10,103,54.806651079369566
376,2014-01-11,6,50.158398595620085
377,2014-01-12,7,46.04807491984674
378,2014-01-13,74,48.71016302271848
379,2014-01-14,133,56.73776654436434
380,2014-01-15,98,60.667503063948686
381,2014-01-16,101,64.50869324833452
382,2014-01-17,87,66.65072246277886
383,2014-01-18,7,60.96970127584754
384,2014-01-19,4,55.54401544005253
385,2014-01-20,11,51.301728255285624
386,2014-01-21,92,55.17775413573462
387,2014-01-22,120,61.351301360902745
388,2014-01-23,110,65.98451075510249
389,2014-01-24,112,70.3669383022356
390,2014-01-25,6,64.23675370202268
391,2014-01-26,10,59.07134858754432
392,2014-01-27,99,62.87407729349248
393,2014-01-28,94,65.83845088458844
394,2014-01-29,135,72.42526508605621
395,2014-01-30,115,76.48000174452706
396,2014-01-31,97,78.43428729266734
397,2014-02-01,8,71.72625993146092
398,2014-02-02,3,65.18090184275034
399,2014-02-03,134,71.73510166725032
400,2014-02-04,120,76.33175865132172
401,2014-02-05,108,79.34778163691013
402,2014-02-06,88,80.17180243339487
403,2014-02-07,78,79.96496410640488
404,2014-02-08,17,73.96830085817584
405,2014-02-09,9,67.78084363358765
406,2014-02-10,98,70.65885852562693
407,2014-02-11,104,73.83420533271007
408,2014-02-12,7,67.469042920071
409,2014-02-13,127,73.13865788006424
410,2014-02-14,111,76.74449998672479
411,2014-02-15,6,70.00692855941766
412,2014-02-16,5,63.81579250613978
413,2014-02-17,12,58.88095512460265
414,2014-02-18,129,65.55895939845003
415,2014-02-19,114,70.1723918366929
416,2014-02-20,94,72.44168785224596
417,2014-02-21,92,74.30438424727016
418,2014-02-22,4,67.608728604673
419,2014-02-23,7,61.83646873756129
420,2014-02-24,86,64.13775742922212
421,2014-02-25,104,67.93416148358192
422,2014-02-26,92,70.22614610419316
423,2014-02-27,87,71.82365599903191
424,2014-02-28,132,77.55473638007649
425,2014-03-01,7,70.83523767721206
426,2014-03-02,6,64.66045313652519
427,2014-03-03,8,59.26421950447517
428,2014-03-04,90,62.19143669452516
429,2014-03-05,125,68.17320462837992
430,2014-03-06,106,71.77575656853422
431,2014-03-07,99,74.36854165724525
432,2014-03-08,11,68.33344245179332
433,2014-03-09,6,62.396924123051086
434,2014-03-10,80,64.07340753990336
435,2014-03-11,99,67.39974967896018
436,2014-03-12,103,70.7902497095354
437,2014-03-13,108,74.33403545148441
438,2014-03-14,98,76.58793683705733
439,2014-03-15,49,73.96051428114711
440,2014-03-16,5,67.3928462543712
441,2014-03-17,91,69.64114661109774
442,2014-03-18,75,70.15151360051699
443,2014-03-19,96,72.61327420999156
444,2014-03-20,125,77.60248618999236
445,2014-03-21,116,81.25939226713595
446,2014-03-22,9,74.37754538455157
447,2014-03-23,13,68.53206487173713
448,2014-03-24,103,71.81472536014311
449,2014-03-25,100,74.49903723060568
450,2014-03-26,111,77.97531939911943
451,2014-03-27,109,80.93005088491758
452,2014-03-28,93,82.07956984825876
453,2014-03-29,6,74.83389652937696
454,2014-03-30,7,68.37352543134105
455,2014-03-31,103,71.67128491407047
456,2014-04-01,92,73.60735301749233
457,2014-04-02,91,75.26379558725496
458,2014-04-03,129,80.38152934084972
459,2014-04-04,136,85.67852654648308
460,2014-04-05,11,78.56628592300851
461,2014-04-06,3,71.36949678748388
462,2014-04-07,118,75.8104970934378
463,2014-04-08,101,78.20949737025325
464,2014-04-09,126,82.7609738111815
465,2014-04-10,153,89.45040487678327
466,2014-04-11,106,91.0265567932801
467,2014-04-12,8,83.11926567011055
468,2014-04-13,9,76.06028798724287
469,2014-04-14,56,74.14978436941021
470,2014-04-15,105,77.0879001437521
471,2014-04-16,68,76.22238584434713
472,2014-04-17,130,81.34406338298075
473,2014-04-18,36,77.0255811560302
474,2014-04-19,9,70.54695437926542
475,2014-04-20,7,64.49486348600205
476,2014-04-21,67,64.73344791590661
477,2014-04-22,92,67.33026240010598
478,2014-04-23,87,69.20357074295303
479,2014-04-24,94,71.56513543410037
480,2014-04-25,133,77.41607491656701
481,2014-04-26,16,71.566924924513
482,2014-04-27,5,65.2272177888451
483,2014-04-28,76,66.25319704705032
484,2014-04-29,88,68.32432113780743
485,2014-04-30,101,71.43629055325434
486,2014-05-01,77,71.96616764342059
487,2014-05-02,120,76.54081834404721
488,2014-05-03,11,70.29883564461414
489,2014-05-04,10,64.55608939274613
490,2014-05-05,70,65.07455706962745
491,2014-05-06,101,68.49602782490102
492,2014-05-07,103,71.78212041300569
493,2014-05-08,96,74.08858513557658
494,2014-05-09,89,75.50871988456929
495,2014-05-10,13,69.55550846699126
496,2014-05-11,6,63.50260289870638
497,2014-05-12,69,64.02616452740101
498,2014-05-13,77,65.26176790574377
499,2014-05-14,106,69.14159953376817
500,2014-05-15,122,74.17573291150454
501,2014-05-16,101,76.73042501517077
502,2014-05-17,4,69.80371787086878
503,2014-05-18,14,64.48907807364319
504,2014-05-19,75,65.49011825710575
505,2014-05-20,87,67.53867842309567
506,2014-05-21,90,69.67785190661039
507,2014-05-22,121,74.56567553455226
508,2014-05-23,93,76.32132548364253
509,2014-05-24,12,70.19548496139086
510,2014-05-25,7,64.1768673460203
511,2014-05-26,5,58.540975217827885
512,2014-05-27,60,58.67992995898714
513,2014-05-28,93,61.94850805813122
514,2014-05-29,66,62.33436443354729
515,2014-05-30,81,64.11204401130469
516,2014-05-31,12,59.14899220070424
517,2014-06-01,8,54.277659610160974
518,2014-06-02,88,57.48931107585993
519,2014-06-03,93,60.871281449587556
520,2014-06-04,79,62.597826073436366
521,2014-06-05,90,65.20755692358529
522,2014-06-06,105,68.99731340705335
523,2014-06-07,9,63.28328355876255
524,2014-06-08,7,57.922970838880396
525,2014-06-09,73,59.358878378034646
526,2014-06-10,79,61.229461389650396
527,2014-06-11,94,64.35046506682654
528,2014-06-12,87,66.50756363189069
529,2014-06-13,86,68.3639861431392
530,2014-06-14,8,62.61503508188784
531,2014-06-15,9,57.508841264565184
532,2014-06-16,103,61.84133257270184
533,2014-06-17,115,66.90406280387309
534,2014-06-18,77,67.86558063207566
535,2014-06-19,131,73.87838247663989
536,2014-06-20,84,74.84234605029323
