Day,Date,Rides,20_ExpMA
1,01/01/2013,7900,7900.0
2,01/02/2013,2632,5134.3
3,01/03/2013,2073,4010.2089925062446
4,01/04/2013,3654,3907.376963840399
5,01/05/2013,5851,4377.522836414383
6,01/06/2013,4522,4408.000918589349
7,01/07/2013,2623,4070.501426888256
8,01/08/2013,2087,3727.643238572463
9,01/09/2013,1993,3449.397981113538
10,01/10/2013,2542,3312.7517076108716
11,01/11/2013,4033,3415.525971144866
12,01/12/2013,7551,3978.8939669949273
13,01/13/2013,5872,4226.633452323515
14,01/14/2013,2568,4017.0447861245552
15,01/15/2013,2101,3782.2372311384934
16,01/16/2013,2203,3593.8496425136436
17,01/17/2013,2673,3486.5813011712767
18,01/18/2013,4483,3600.237333989841
19,01/19/2013,7529,4040.0889707164442
20,01/20/2013,6999,4365.911805503927
21,01/21/2013,3324,4252.862770066558
22,01/22/2013,2456,4060.452416448642
23,01/23/2013,2441,3889.0691124283553
24,01/24/2013,2867,3782.039080312061
25,01/25/2013,4558,3862.5337536959128
26,01/26/2013,7769,4264.358423088002
27,01/27/2013,6355,4477.777820996977
28,01/28/2013,2715,4299.051210628166
29,01/29/2013,2393,4106.9796773982025
30,01/30/2013,2593,3955.256156794118
31,01/31/2013,3171,3877.0511230183893
32,02/01/2013,5113,3999.748620970747
33,02/02/2013,7950,4390.329268387529
34,02/03/2013,6942,4641.711193339323
35,02/04/2013,3207,4500.83020350762
36,02/05/2013,2360,4291.231784697954
37,02/06/2013,2375,4104.121762872023
38,02/07/2013,3028,3999.296376416787
39,02/08/2013,4735,4070.8061795195476
40,02/09/2013,7281,4382.223726127802
41,02/10/2013,5593,4499.472236095917
42,02/11/2013,2745,4329.844882753725
43,02/12/2013,2406,4144.110439730025
44,02/13/2013,2622,3997.352346099378
45,02/14/2013,3440,3943.6771276665745
46,02/15/2013,5356,4079.5445518557985
47,02/16/2013,9319,4583.102376683349
48,02/17/2013,7953,4906.6974661180275
49,02/18/2013,3270,4749.656873671646
50,02/19/2013,2652,4548.530492947679
51,02/20/2013,2882,4388.843869347978
52,02/21/2013,3182,4273.271556799446
53,02/22/2013,5156,4357.760807022202
54,02/23/2013,8472,4751.362852809992
55,02/24/2013,6441,4912.937972866419
56,02/25/2013,3059,4735.7201800382345
57,02/26/2013,2536,4525.523045491374
58,02/27/2013,2738,4354.768282444663
59,02/28/2013,3242,4248.500666452432
60,03/01/2013,5368,4355.38326271616
61,03/02/2013,8407,4742.114505809508
62,03/03/2013,6430,4903.190711125719
63,03/04/2013,3102,4731.33481376135
64,03/05/2013,2411,4509.984719159475
65,03/06/2013,2814,4348.220478009074
66,03/07/2013,3204,4239.099469844369
67,03/08/2013,5253,4335.779766439512
68,03/09/2013,8250,4708.97595021501
69,03/10/2013,6546,4884.1061017956135
70,03/11/2013,3190,4722.616261653997
71,03/12/2013,2640,4524.109034164517
72,03/13/2013,2862,4365.695374834437
73,03/14/2013,3508,4283.955217790575
74,03/15/2013,5873,4435.384807957747
75,03/17/2013,8617,4833.85288515518
76,03/18/2013,3256,4683.50641643401
77,03/19/2013,2766,4500.8045553160255
78,03/20/2013,2840,4342.568278657069
79,03/21/2013,3677,4279.157468890025
80,03/22/2013,6176,4459.869357198159
81,03/23/2013,8113,4807.891487890209
82,03/24/2013,5966,4918.217631468547
83,03/25/2013,2509,4688.711690872446
84,03/26/2013,2429,4473.45298715278
85,03/27/2013,2681,4302.708683367734
86,03/28/2013,3761,4251.107948137027
87,03/29/2013,5577,4377.404268612788
88,03/30/2013,6070,4538.6279859981405
89,03/31/2013,4222,4508.468856781501
90,04/01/2013,2593,4326.020903996806
91,04/02/2013,2596,4161.238747063008
92,04/03/2013,2836,4035.0128768215554
93,04/04/2013,3489,3983.006932614818
94,04/05/2013,5910,4166.545146270389
95,04/06/2013,8541,4583.190834648821
96,04/07/2013,6596,4774.899826228303
97,04/08/2013,5090,4804.911190959722
98,04/09/2013,3555,4685.865482412221
99,04/10/2013,2946,4520.155761878353
100,04/11/2013,4092,4479.37718669415
101,04/12/2013,6433,4665.444081633317
102,04/13/2013,9057,5083.702917459589
103,04/14/2013,6082,5178.782000515088
104,04/15/2013,2990,4970.320282712659
105,04/16/2013,3266,4807.999634574971
106,04/17/2013,3521,4685.425213639422
107,04/18/2013,4144,4633.859755373812
108,04/19/2013,6621,4823.115033314383
109,04/20/2013,8473,5170.729483623819
110,04/21/2013,5935,5243.518356438526
111,04/22/2013,2570,4988.893748100301
112,04/23/2013,2843,4784.520146304027
113,04/24/2013,3045,4618.849530352456
114,04/25/2013,3923,4552.5774115864915
115,04/26/2013,6317,4720.619344122687
116,04/27/2013,8108,5043.229954222066
117,04/28/2013,5630,5099.113274707124
118,04/29/2013,3212,4919.386865375863
119,04/30/2013,3611,4794.777754698586
120,05/01/2013,4004,4719.465129458865
121,05/02/2013,4999,4746.087644602918
122,05/03/2013,7016,4962.270850171689
123,05/04/2013,8270,5277.294093225842
124,05/05/2013,5881,5334.7901282355215
125,05/06/2013,3481,5158.238036331021
126,05/07/2013,3853,5033.929237132194
127,05/08/2013,4273,4961.45956719395
128,05/09/2013,5019,4966.939623382002
129,05/10/2013,6143,5078.945650336612
130,05/11/2013,6503,5214.570177362147
131,05/12/2013,4584,5154.515753266623
132,05/13/2013,3547,5001.4187346428425
133,05/14/2013,3898,4896.331062079284
134,05/15/2013,4588,4866.96615502685
135,05/16/2013,5420,4919.636116423656
136,05/17/2013,6682,5087.480501672114
137,05/19/2013,6568,5228.482515123626
138,05/20/2013,4562,5165.00792614519
139,05/21/2013,3215,4979.292716859563
140,05/22/2013,3632,4850.9790193205845
141,05/23/2013,4838,4849.742921323275
142,05/24/2013,6326,4990.338928168037
143,05/25/2013,7085,5189.830580249964
144,05/26/2013,6479,5312.608687843957
145,05/27/2013,5111,5293.407850862834
146,05/28/2013,3885,5159.273709357154
147,05/29/2013,4187,5066.676175458297
148,05/30/2013,5462,5104.326077404331
149,05/31/2013,6475,5234.866494571836
150,06/02/2013,5420,5252.498262320064
151,06/03/2013,5308,5257.784143543872
152,06/04/2013,3681,5107.614187974911
153,06/05/2013,3241,4929.841368392408
154,06/06/2013,4671,4905.189804507582
155,06/07/2013,6683,5074.505092231993
156,06/09/2013,7131,5270.361782570301
157,06/10/2013,5238,5267.279707577703
158,06/11/2013,4534,5197.443535477966
159,06/12/2013,4599,5140.448906056478
160,06/13/2013,4443,5074.025193341915
161,06/14/2013,5280,5093.641843565892
162,06/15/2013,7233,5297.3902579372225
163,06/16/2013,6994,5458.972151422442
164,06/17/2013,4527,5370.21289230152
165,06/18/2013,3846,5225.049749928623
166,06/19/2013,3820,5091.235479879915
167,06/20/2013,3601,4949.308283498339
168,06/21/2013,5369,4989.278925158151
169,06/23/2013,7885,5265.061897108182
170,06/24/2013,5884,5324.008385503848
171,06/25/2013,5232,5315.245681798932
172,06/26/2013,4510,5238.555614303343
