Date,Revenue_Predicted_Poly
2017-01-02,1754.4161038909042
2017-01-03,1753.7630757096022
2017-01-04,1753.1440228628135
2017-01-05,1752.5590918198004
2017-01-06,1752.0084292418496
2017-01-07,1751.4921819822866
2017-01-08,1751.0104970863704
2017-01-09,1750.5635217914078
2017-01-10,1750.15140352673
2017-01-11,1749.7742899136201
2017-01-12,1749.432328765416
2017-01-13,1749.1256680874685
2017-01-14,1748.8544560770742
2017-01-15,1748.6188411235835
2017-01-16,1748.418971808349
2017-01-17,1748.254996904734
2017-01-18,1748.1270653781048
2017-01-19,1748.0353263858015
2017-01-20,1747.979929277224
2017-01-21,1747.9610235937234
2017-01-22,1747.9787590687092
2017-01-23,1748.0332856275672
2017-01-24,1748.124753387693
2017-01-25,1748.253312658514
2017-01-26,1748.4191139414052
2017-01-27,1748.622307929818
2017-01-28,1748.8630455091507
2017-01-29,1749.1414777568598
2017-01-30,1749.4577559423633
2017-01-31,1749.8120315271208
2017-02-01,1750.204456164559
2017-02-02,1750.635181700175
2017-02-03,1751.1043601713936
2017-02-04,1751.612143807717
2017-02-05,1752.1586850305812
2017-02-06,1752.744136453517
2017-02-07,1753.3686508819774
2017-02-08,1754.0323813134619
2017-02-09,1754.7354809375001
2017-02-10,1755.4781031355833
2017-02-11,1756.2604014812177
2017-02-12,1757.0825297399333
2017-02-13,1757.9446418692714
2017-02-14,1758.8468920187406
2017-02-15,1759.789434529901
2017-02-16,1760.7724239362879
2017-02-17,1761.7960149634646
2017-02-18,1762.8603625289925
2017-02-19,1763.965621742429
2017-02-20,1765.111947905366
2017-02-21,1766.2994965113503
2017-02-22,1767.5284232459962
2017-02-23,1768.7988839868813
2017-02-24,1770.1110348036182
2017-02-25,1771.4650319578068
2017-02-26,1772.8610319030377
2017-02-27,1774.2991912849811
2017-02-28,1775.7796669412
2017-03-01,1777.3026159013752
2017-03-02,1778.8681953871237
2017-03-03,1780.4765628120658
2017-03-04,1782.127875781889
2017-03-05,1783.8222920942535
2017-03-06,1785.5599697388043
2017-03-07,1787.3410668971956
2017-03-08,1789.1657419431285
2017-03-09,1791.0341534422842
2017-03-10,1792.946460152345
2017-03-11,1794.90282102301
2017-03-12,1796.9033951959736
2017-03-13,1798.9483420049546
2017-03-14,1801.0378209756618
2017-03-15,1803.1719918258223
2017-03-16,1805.3510144651682
2017-03-17,1807.575048995417
2017-03-18,1809.844255710308
2017-03-19,1812.1587950956182
2017-03-20,1814.518827829077
2017-03-21,1816.9245147804395
2017-03-22,1819.3760170115056
2017-03-23,1821.8734957759953
2017-03-24,1824.4171125197372
2017-03-25,1827.0070288804764
2017-03-26,1829.643406688063
2017-03-27,1832.3264079642322
2017-03-28,1835.0561949228231
2017-03-29,1837.8329299696525
2017-03-30,1840.6567757025168
2017-03-31,1843.5278949112399
2017-04-01,1846.4464505776832
2017-04-02,1849.4126058756574
2017-04-03,1852.426524171009
2017-04-04,1855.4883690215938
2017-04-05,1858.5983041772652
2017-04-06,1861.7564935798928
2017-04-07,1864.9631013633389
2017-04-08,1868.218291853489
2017-04-09,1871.5222295682324
2017-04-10,1874.875079217425
2017-04-11,1878.2770057029884
2017-04-12,1881.728174118809
2017-04-13,1885.2287497508187
2017-04-14,1888.7788980769146
2017-04-15,1892.3787847670337
2017-04-16,1896.0285756830672
2017-04-17,1899.7284368789733
2017-04-18,1903.4785346007156
2017-04-19,1907.2790352862085
2017-04-20,1911.1301055654203
2017-04-21,1915.0319122602905
2017-04-22,1918.9846223848235
2017-04-23,1922.9884031449492
2017-04-24,1927.0434219386643
2017-04-25,1931.1498463559728
2017-04-26,1935.3078441788493
2017-04-27,1939.5175833812846
2017-04-28,1943.7792321292964
2017-04-29,1948.092958780906
2017-04-30,1952.4589318861126
2017-05-01,1956.8773201869426
2017-05-02,1961.3482926174256
2017-05-03,1965.8720183036112
2017-05-04,1970.448666563534
2017-05-05,1975.0784069072524
2017-05-06,1979.7614090367988
2017-05-07,1984.4978428462728
2017-05-08,1989.2878784217228
2017-05-09,1994.131686041219
2017-05-10,1999.029436174842
2017-05-11,2003.981299484698
2017-05-12,2008.9874468248945
2017-05-13,2014.04804924149
2017-05-14,2019.1632779726096
2017-05-15,2024.3333044484025
2017-05-16,2029.5583002909316
2017-05-17,2034.8384373143563
2017-05-18,2040.1738875248157
2017-05-19,2045.564823120465
2017-05-20,2051.011416491412
2017-05-21,2056.5138402198027
2017-05-22,2062.072267079855
2017-05-23,2067.6868700376817
2017-05-24,2073.3578222514698
2017-05-25,2079.085297071406
2017-05-26,2084.869468039673
2017-05-28,2090.7105088904646
2017-05-29,2096.6085935499814
2017-05-30,2102.563896136424
2017-05-31,2108.5765909599813
2017-06-01,2114.6468525229047
2017-06-02,2120.774855519423
2017-06-03,2126.9607748357303
2017-06-04,2133.2047855500896
2017-06-05,2139.5070629327365
2017-06-06,2145.8677824459155
2017-06-07,2152.2871197439
2017-06-08,2158.7652506729373
2017-06-09,2165.3023512713025
2017-06-10,2171.89859776927
2017-06-11,2178.5541665891215
2017-06-12,2185.2692343451527
2017-06-13,2192.0439778436394
2017-06-14,2198.8785740829207
2017-06-15,2205.7732002532593
2017-06-16,2212.728033736985
2017-06-17,2219.743252108441
2017-06-18,2226.8190331339138
2017-06-19,2233.955554771792
2017-06-20,2241.1529951723514
2017-06-21,2248.4115326779956
2017-06-22,2255.73134582304
2017-06-23,2263.112613333875
2017-06-24,2270.555514128828
2017-06-25,2278.0602273182867
2017-06-26,2285.6269322046483
2017-06-27,2293.255808282287
2017-06-28,2300.947035237594
2017-06-29,2308.7007929489628
2017-06-30,2316.517261486795
2017-07-01,2324.396621113503
2017-07-02,2332.3390522835252
2017-07-03,2340.344735643257
2017-07-04,2348.413852031159
2017-07-05,2356.5465824776275
2017-07-06,2364.7431082051426
2017-07-07,2373.0036106281277
2017-07-08,2381.328271353057
2017-07-09,2389.717272178372
2017-07-10,2398.170795094573
2017-07-11,2406.6890222841103
2017-07-12,2415.272136121481
2017-07-13,2423.920319173163
2017-07-14,2432.6337541976573
2017-07-15,2441.4126241454633
2017-07-16,2450.257112159092
2017-07-17,2459.1674015730423
2017-07-18,2468.143675913845
2017-07-19,2477.1861189000247
2017-07-20,2486.294914442122
2017-07-21,2495.470246642679
2017-07-22,2504.712299796247
2017-07-23,2514.0212583893444
2017-07-24,2523.397307100564
2017-07-25,2532.8406308004523
2017-07-26,2542.3514145515946
2017-07-27,2551.929843608572
2017-07-28,2561.5761034179523
2017-07-29,2571.290379618351
2017-07-30,2581.0728580403356
2017-07-31,2590.923724706541
