Day,Date,Rides,Poly_Average
1,2013-01-01,880,436.3052096641366
2,2013-01-02,208,436.77269219211416
3,2013-01-03,178,437.23906141152094
4,2013-01-04,380,437.704316279878
5,2013-01-05,606,438.16845575837874
6,2013-01-06,373,438.6314788118897
7,2013-01-07,247,439.0933844089499
8,2013-01-08,187,439.5541715217714
9,2013-01-09,206,440.0138391262389
10,2013-01-10,267,440.4723862019099
11,2013-01-11,443,440.9298117320146
12,2013-01-12,722,441.3861147034562
13,2013-01-13,500,441.84129410681044
14,2013-01-14,236,442.295348936326
15,2013-01-15,242,442.74827818992424
16,2013-01-16,271,443.20008086919927
17,2013-01-17,258,443.65075597941814
18,2013-01-18,427,444.1003025295206
19,2013-01-19,721,444.5487195321191
20,2013-01-20,596,444.9960060034989
21,2013-01-21,249,445.4421609636182
22,2013-01-22,261,445.8871834361077
23,2013-01-23,286,446.33107244827113
24,2013-01-24,303,446.77382703108486
25,2013-01-25,605,447.21544621919804
26,2013-01-26,857,447.65592905093274
27,2013-01-27,542,448.09527456828357
28,2013-01-28,283,448.5334818169182
29,2013-01-29,255,448.9705498461768
30,2013-01-30,263,449.40647770907253
31,2013-01-31,357,449.84126446229124
32,2013-02-01,568,450.2749091661916
33,2013-02-02,811,450.70741088480486
34,2013-02-03,591,451.13876868583543
35,2013-02-04,312,451.56898164066024
36,2013-02-05,254,451.99804882432886
37,2013-02-06,244,452.4259693155641
38,2013-02-07,332,452.8527421967611
39,2013-02-08,540,453.27836655398795
40,2013-02-09,804,453.70284147698567
41,2013-02-10,547,454.1261660591677
42,2013-02-11,277,454.5483393976206
43,2013-02-12,258,454.96936059310354
44,2013-02-13,308,455.3892287500485
45,2013-02-14,422,455.8079429765603
46,2013-02-15,536,456.2255023844165
47,2013-02-16,875,456.6419060890672
48,2013-02-17,651,457.05715320963577
49,2013-02-18,296,457.471242868918
50,2013-02-19,262,457.8841741933826
51,2013-02-20,340,458.29594631317093
52,2013-02-21,322,458.70655836209716
53,2013-02-22,564,459.11600947764845
54,2013-02-23,831,459.5242988009844
55,2013-02-24,575,459.93142547693765
56,2013-02-25,364,460.3373886540136
57,2013-02-26,308,460.74218748439023
58,2013-02-27,323,461.14582112391855
59,2013-02-28,352,461.54828873212216
60,2013-03-01,615,461.9495894721976
61,2013-03-02,957,462.34972251101397
