Day,Date,Rides,Poly_Average
1,01/01/2013,13844,15559.105925778618
2,01/02/2013,9422,15589.812549767968
3,01/03/2013,10309,15620.452382184423
4,01/04/2013,13888,15651.025472600148
5,01/05/2013,13289,15681.531870575596
6,01/06/2013,9773,15711.971625659527
7,01/07/2013,9859,15742.344787389004
8,01/08/2013,10031,15772.651405289398
9,01/09/2013,11257,15802.891528874365
10,01/10/2013,13597,15833.06520764587
11,01/11/2013,15498,15863.172491094188
12,01/12/2013,16890,15893.21342869789
13,01/13/2013,12637,15923.188069923835
14,01/14/2013,11113,15953.096464227205
15,01/15/2013,11454,15982.93866105147
16,01/16/2013,13203,16012.714709828408
17,01/17/2013,14712,16042.424659978087
18,01/18/2013,17708,16072.068560908894
19,01/19/2013,18131,16101.646462017505
20,01/20/2013,16300,16131.158412688901
21,01/21/2013,12810,16160.604462296362
22,01/22/2013,14368,16189.984660201473
23,01/23/2013,15249,16219.299055754116
24,01/24/2013,15641,16248.547698292487
25,01/25/2013,17823,16277.73063714306
26,01/26/2013,19032,16306.847921620634
27,01/27/2013,14648,16335.899601028299
28,01/28/2013,11273,16364.88572465744
29,01/29/2013,13006,16393.806341787757
30,01/30/2013,13969,16422.661501687246
31,01/31/2013,16026,16451.4512536122
32,02/01/2013,19423,16480.175646807213
33,02/02/2013,17984,16508.83473050519
34,02/03/2013,13860,16537.428553927333
35,02/04/2013,11519,16565.95716628314
36,02/05/2013,12608,16594.420616770418
37,02/06/2013,13305,16622.818954575265
38,02/07/2013,16550,16651.152228872095
39,02/08/2013,19256,16679.420488823613
40,02/09/2013,19149,16707.623783580828
41,02/10/2013,14179,16735.76216228305
42,02/11/2013,12359,16763.83567405789
43,02/12/2013,13329,16791.844368021266
44,02/13/2013,13953,16819.788293277386
45,02/14/2013,16056,16847.667498918774
46,02/15/2013,19641,16875.48203402624
47,02/16/2013,23886,16903.23194766891
48,02/17/2013,18902,16930.917288904206
49,02/18/2013,11889,16958.538106777843
50,02/19/2013,14496,16986.094450323846
51,02/20/2013,16167,17013.586368564538
52,02/21/2013,18984,17041.013910510555
53,02/22/2013,21561,17068.377125160816
54,02/23/2013,23453,17095.676061502556
55,02/24/2013,16007,17122.910768511298
56,02/25/2013,12694,17150.081295150878
57,02/26/2013,13929,17177.18769037343
58,02/27/2013,15332,17204.23000311939
59,02/28/2013,17205,17231.208282317497
60,03/01/2013,21541,17258.122576884783
61,03/02/2013,22182,17284.972935726582
62,03/03/2013,17981,17311.759407736554
63,03/04/2013,15400,17338.482041796622
64,03/05/2013,14144,17365.140886777033
65,03/06/2013,15214,17391.73599153634
66,03/07/2013,16691,17418.267404921386
67,03/08/2013,19391,17444.73517576731
68,03/09/2013,21508,17471.139352897575
69,03/10/2013,16964,17497.479985123922
70,03/11/2013,15544,17523.757121246406
71,03/12/2013,16078,17549.970810053383
72,03/13/2013,17287,17576.121100321503
73,03/14/2013,18934,17602.208040815727
74,03/15/2013,24143,17628.231680289307
75,03/16/2013,31868,17654.192067483804
76,03/17/2013,18957,17680.089251129088
77,03/18/2013,15372,17705.92327994331
78,03/19/2013,17357,17731.694202632938
79,03/20/2013,18766,17757.402067892734
80,03/21/2013,21493,17783.046924405768
81,03/22/2013,24397,17808.628820843405
82,03/23/2013,23208,17834.14780586531
83,03/24/2013,16794,17859.60392811946
84,03/25/2013,12471,17884.997236242132
85,03/26/2013,13274,17910.327778857893
86,03/27/2013,14672,17935.595604579612
87,03/28/2013,16617,17960.800762008475
88,03/29/2013,18984,17985.943299733954
89,03/30/2013,18150,18011.023266333832
90,03/31/2013,12152,18036.04071037419
91,04/01/2013,11943,18060.995680409404
92,04/02/2013,14080,18085.88822498216
93,04/03/2013,15737,18110.71839262345
94,04/04/2013,17380,18135.48623185255
95,04/05/2013,22986,18160.191791177058
96,04/06/2013,22981,18184.83511909285
97,04/07/2013,17547,18209.41626408413
98,04/08/2013,13621,18233.93527462338
99,04/09/2013,15515,18258.3921991714
100,04/10/2013,16578,18282.787086177286
101,04/11/2013,18929,18307.11998407843
102,04/12/2013,22643,18331.390941300524
103,04/13/2013,23332,18355.600006257584
104,04/14/2013,17815,18379.747227351887
105,04/15/2013,15171,18403.83265297406
106,04/16/2013,16829,18427.856331502993
107,04/17/2013,20592,18451.818311305888
108,04/18/2013,18592,18475.71864073826
109,04/19/2013,23394,18499.557368143913
110,04/20/2013,23606,18523.334541854958
111,04/21/2013,17920,18547.0502101918
112,04/22/2013,14047,18570.704421463157
113,04/23/2013,19086,18594.297223966038
114,04/24/2013,17636,18617.828665985755
115,04/25/2013,19281,18641.29879579594
116,04/26/2013,21409,18664.707661658493
117,04/27/2013,23151,18688.055311823642
118,04/28/2013,17126,18711.341794529908
119,04/29/2013,12464,18734.56715800411
120,04/30/2013,14521,18757.731450461368
121,05/01/2013,16226,18780.834720105115
122,05/02/2013,19933,18803.877015127073
123,05/03/2013,23477,18826.858383707273
124,05/04/2013,22878,18849.77887401404
125,05/05/2013,17687,18872.63853420401
126,05/06/2013,13989,18895.4374124221
127,05/07/2013,16032,18918.175556801565
128,05/08/2013,17127,18940.853015463927
129,05/09/2013,21010,18963.46983651902
130,05/10/2013,22925,18986.026068064988
131,05/11/2013,21860,19008.521758188275
132,05/12/2013,16603,19030.956954963607
133,05/13/2013,14132,19053.33170645404
134,05/14/2013,16041,19075.646060710907
135,05/15/2013,17751,19097.900065773865
136,05/16/2013,20017,19120.093769670846
137,05/17/2013,24875,19142.227220418106
138,05/18/2013,25447,19164.300466020195
139,05/19/2013,22325,19186.31355446996
140,05/20/2013,18307,19208.266533748552
141,05/21/2013,18459,19230.159451825435
142,05/22/2013,18161,19251.99235665835
143,05/23/2013,21419,19273.765296193356
144,05/24/2013,21006,19295.478318364818
145,05/25/2013,22895,19317.13147109539
146,05/26/2013,21285,19338.724802296034
147,05/27/2013,11826,19360.258359866017
148,05/28/2013,14947,19381.73219169289
149,05/29/2013,16724,19403.146345652527
