Day,Date,Rides,Poly_Average
1,2013-01-01,3,14.902916103261788
2,2013-01-02,9,14.923302589801082
3,2013-01-03,17,14.943645153567603
4,2013-01-04,20,14.963943887071157
5,2013-01-05,11,14.984198882626355
6,2013-01-06,16,15.004410232352598
7,2013-01-07,10,15.024578028174094
8,2013-01-08,15,15.044702361819848
9,2013-01-09,16,15.064783324823658
10,2013-01-10,15,15.084821008524125
11,2013-01-11,20,15.104815504064652
12,2013-01-12,6,15.124766902393434
13,2013-01-13,10,15.144675294263466
14,2013-01-14,7,15.164540770232543
15,2013-01-15,16,15.184363420663262
16,2013-01-16,15,15.204143335723012
17,2013-01-17,15,15.223880605383984
18,2013-01-18,10,15.243575319423169
19,2013-01-19,12,15.263227567422351
20,2013-01-20,12,15.28283743876812
21,2013-01-21,12,15.302405022651861
22,2013-01-22,15,15.321930408069754
23,2013-01-23,18,15.341413683822786
24,2013-01-24,24,15.360854938516738
25,2013-01-25,13,15.380254260562182
26,2013-01-26,8,15.399611738174507
27,2013-01-27,10,15.41892745937388
28,2013-01-28,20,15.43820151198528
29,2013-01-29,17,15.457433983638484
30,2013-01-30,17,15.476624961768058
31,2013-01-31,22,15.495774533613377
32,2013-02-01,16,15.51488278621861
33,2013-02-02,17,15.533949806432727
34,2013-02-03,18,15.552975680909492
35,2013-02-04,13,15.571960496107472
36,2013-02-05,24,15.59090433829003
37,2013-02-06,16,15.609807293525328
38,2013-02-07,18,15.628669447686335
39,2013-02-08,15,15.647490886450797
40,2013-02-09,17,15.666271695301283
41,2013-02-10,12,15.685011959525145
42,2013-02-11,16,15.703711764214537
43,2013-02-12,14,15.722371194266422
44,2013-02-13,15,15.740990334382545
45,2013-02-14,15,15.759569269069456
46,2013-02-15,24,15.778108082638514
47,2013-02-16,14,15.796606859205863
48,2013-02-17,18,15.815065682692442
49,2013-02-18,18,15.83348463682401
50,2013-02-19,20,15.851863805131105
51,2013-02-20,18,15.87020327094907
52,2013-02-21,22,15.888503117418043
53,2013-02-22,13,15.906763427482971
54,2013-02-23,27,15.92498428389359
55,2013-02-24,22,15.94316576920444
56,2013-02-25,25,15.96130796577485
57,2013-02-26,25,15.979410955768964
58,2013-02-27,16,15.997474821155706
59,2013-02-28,28,16.01549964370881
60,2013-03-01,30,16.033485505006816
61,2013-03-02,32,16.051432486433036
62,2013-03-03,21,16.06934066917561
63,2013-03-04,31,16.08721013422746
64,2013-03-05,17,16.10504096238631
65,2013-03-07,17,16.12283323425469
66,2013-03-08,27,16.140587030239914
67,2013-03-09,23,16.1583024305541
68,2013-03-10,28,16.17597951521418
69,2013-03-11,24,16.19361836404186
70,2013-03-12,20,16.211219056663662
71,2013-03-13,19,16.228781672510898
72,2013-03-14,26,16.246306290819685
73,2013-03-15,27,16.263792990630932
74,2013-03-16,28,16.281241850790348
75,2013-03-17,26,16.298652949948448
76,2013-03-18,28,16.316026366560536
77,2013-03-19,28,16.33336217888672
78,2013-03-20,17,16.3506604649919
79,2013-03-21,25,16.367921302745792
80,2013-03-22,23,16.385144769822883
81,2013-03-23,19,16.402330943702488
82,2013-03-24,17,16.41947990166869
83,2013-03-25,16,16.436591720810405
84,2013-03-26,18,16.453666478021326
85,2013-03-27,14,16.470704249999933
86,2013-03-28,11,16.487705113249532
87,2013-03-29,21,16.50466914407822
88,2013-03-30,14,16.521596418598882
89,2013-03-31,19,16.5384870127292
90,2013-04-01,15,16.55534100219168
91,2013-04-02,20,16.572158462513592
92,2013-04-03,19,16.588939469027032
93,2013-04-04,22,16.605684096868877
94,2013-04-05,24,16.622392420980816
95,2013-04-06,28,16.639064516109332
96,2013-04-07,13,16.655700456805697
97,2013-04-08,13,16.672300317425986
98,2013-04-09,22,16.68886417213109
99,2013-04-10,21,16.705392094886676
100,2013-04-11,19,16.72188415946322
101,2013-04-12,27,16.738340439435994
102,2013-04-13,10,16.75476100818507
103,2013-04-14,12,16.771145938895316
104,2013-04-15,16,16.78749530455641
105,2013-04-16,13,16.8038091779628
106,2013-04-17,25,16.82008763171377
107,2013-04-18,24,16.836330738213377
108,2013-04-19,19,16.852538569670486
109,2013-04-20,20,16.868711198098758
110,2013-04-21,13,16.884848695316656
111,2013-04-22,13,16.900951132947426
112,2013-04-23,18,16.917018582419146
113,2013-04-24,16,16.933051114964652
114,2013-04-25,21,16.94904880162161
115,2013-04-26,15,16.965011713232474
116,2013-04-27,14,16.98093992044449
117,2013-04-28,20,16.996833493709715
118,2013-04-29,14,17.012692503284992
119,2013-04-30,20,17.02851701923197
120,2013-05-01,22,17.04430711141709
121,2013-05-02,14,17.06006284951161
122,2013-05-03,15,17.07578430299157
123,2013-05-04,16,17.091471541137796
124,2013-05-05,16,17.107124633035944
125,2013-05-06,24,17.122743647576453
126,2013-05-07,17,17.138328653454558
127,2013-05-08,13,17.15387971917029
128,2013-05-09,13,17.169396913028493
