Day,Date,Rides,Poly_Average
1,01/01/2013,1169,1774.5534423496051
2,01/02/2013,1536,1778.296180839674
3,01/03/2013,1421,1782.0352753782092
4,01/04/2013,1278,1785.7707222049978
5,01/05/2013,1012,1789.5025175645806
6,01/06/2013,1703,1793.2306577062523
7,01/07/2013,1721,1796.955138884061
8,01/08/2013,1574,1800.6759573568095
9,01/09/2013,1580,1804.3931093880537
10,01/10/2013,1805,1808.1065912461045
11,01/11/2013,1518,1811.8163992040245
12,01/12/2013,809,1815.5225295396328
13,01/13/2013,1376,1819.2249785355002
14,01/14/2013,1879,1822.9237424789521
15,01/15/2013,1735,1826.6188176620685
16,01/16/2013,1655,1830.3102003816816
17,01/17/2013,1981,1833.9978869393792
18,01/18/2013,1641,1837.6818736415019
19,01/19/2013,894,1841.3621567991445
20,01/20/2013,1463,1845.038732728155
21,01/21/2013,2219,1848.7115977491367
22,01/22/2013,1959,1852.3807481874455
23,01/23/2013,1935,1856.0461803731914
24,01/24/2013,2180,1859.7078906412385
25,01/25/2013,1842,1863.3658753312047
26,01/26/2013,988,1867.0201307874613
27,01/27/2013,1619,1870.6706533591341
28,01/28/2013,2229,1874.3174394001026
29,01/29/2013,1685,1877.9604852689997
30,01/30/2013,1914,1881.5997873292129
31,01/31/2013,2143,1885.2353419488825
32,02/01/2013,1711,1888.867145500904
33,02/02/2013,769,1892.4951943629253
34,02/03/2013,1496,1896.1194849173492
35,02/04/2013,2172,1899.7400135513321
36,02/05/2013,1739,1903.3567766567842
37,02/06/2013,1787,1906.969770630369
38,02/07/2013,1917,1910.5789918735056
39,02/08/2013,1831,1914.1844367923643
40,02/09/2013,944,1917.7861017978717
41,02/10/2013,1534,1921.3839833057066
42,02/11/2013,2343,1924.9780777363026
43,02/12/2013,1760,1928.5683815148468
44,02/13/2013,1747,1932.1548910712797
45,02/14/2013,1892,1935.7376028402969
46,02/15/2013,1703,1939.3165132613467
47,02/16/2013,967,1942.8916187786317
48,02/17/2013,1380,1946.462915841108
49,02/18/2013,2000,1950.030400902486
50,02/19/2013,2262,1953.5940704212298
51,02/20/2013,2423,1957.1539208605577
52,02/21/2013,2460,1960.7099486884408
53,02/22/2013,1867,1964.262150377605
54,02/23/2013,1118,1967.81052240553
55,02/24/2013,1783,1971.3550612544489
56,02/25/2013,2468,1974.895763411349
57,02/26/2013,1720,1978.432625367971
58,02/27/2013,2674,1981.9656436208106
59,02/28/2013,2691,1985.4948146711158
60,03/01/2013,2534,1989.020135024889
61,03/02/2013,1579,1992.5416011928874
62,03/03/2013,2090,1996.0592096906207
63,03/04/2013,2464,1999.5729570383533
64,03/05/2013,1402,2003.082839761103
65,03/06/2013,2425,2006.5888543886417
66,03/07/2013,2469,2010.0909974554952
67,03/08/2013,2212,2013.589265500943
68,03/09/2013,1246,2017.0836550690183
69,03/10/2013,1987,2020.5741627085085
70,03/11/2013,2683,2024.0607849729545
71,03/12/2013,2313,2027.5435184206517
72,03/13/2013,2391,2031.0223596146484
73,03/14/2013,2522,2034.4973051227475
74,03/15/2013,2181,2037.9683515175052
75,03/16/2013,1189,2041.4354953762322
76,03/17/2013,1969,2044.8987332809925
77,03/18/2013,2829,2048.3580618186043
78,03/19/2013,2850,2051.813477580639
79,03/20/2013,2417,2055.264977163423
80,03/21/2013,2508,2058.7125571680353
81,03/22/2013,2028,2062.1562142003095
82,03/23/2013,1148,2065.5959448708336
83,03/24/2013,1819,2069.0317457949477
84,03/25/2013,1879,2072.4636135927476
85,03/26/2013,1555,2075.891544889081
86,03/27/2013,1721,2079.315536313552
87,03/28/2013,2005,2082.7355845005163
88,03/29/2013,1493,2086.1516860890843
89,03/30/2013,872,2089.5638377231207
90,03/31/2013,1747,2092.972036051244
91,04/01/2013,2580,2096.376277726825
92,04/02/2013,2066,2099.776559407989
93,04/03/2013,2163,2103.1728777576172
94,04/04/2013,2395,2106.565229443343
95,04/05/2013,2128,2109.953611137553
