Day,Date,Rides,Poly_Average
1,2013-01-01,14,19.421586836096203
2,2013-01-02,14,19.460265866758135
3,2013-01-03,12,19.49884217161473
4,2013-01-04,17,19.537315837613047
5,2013-01-05,13,19.575686951658874
6,2013-01-06,15,19.613955600616727
7,2013-01-07,11,19.65212187130986
8,2013-01-08,17,19.690185850520265
9,2013-01-09,13,19.728147624988654
10,2013-01-10,10,19.7660072814145
11,2013-01-11,17,19.80376490645598
12,2013-01-12,17,19.841420586730028
13,2013-01-13,11,19.878974408812297
14,2013-01-14,17,19.91642645923718
15,2013-01-15,14,19.9537768244978
16,2013-01-16,5,19.991025591046032
17,2013-01-17,23,20.02817284529246
18,2013-01-18,27,20.065218673606417
19,2013-01-19,21,20.102163162315968
20,2013-01-20,16,20.1390063977079
21,2013-01-21,11,20.17574846602776
22,2013-01-22,26,20.2123894534798
23,2013-01-23,24,20.24892944622703
24,2013-01-24,22,20.285368530391178
25,2013-01-25,25,20.321706792052716
26,2013-01-26,14,20.357944317250848
27,2013-01-27,13,20.3940811919835
28,2013-01-28,16,20.43011750220735
29,2013-01-29,19,20.466053333837802
30,2013-01-30,19,20.50188877274899
31,2013-01-31,18,20.537623904773795
32,2013-02-01,23,20.573258815703817
33,2013-02-02,27,20.6087935912894
34,2013-02-03,18,20.644228317239612
35,2013-02-04,19,20.67956307922227
36,2013-02-05,29,20.71479796286392
37,2013-02-06,25,20.749933053749828
38,2013-02-07,25,20.784968437424013
39,2013-02-08,28,20.819904199389217
40,2013-02-09,28,20.854740425106925
41,2013-02-10,23,20.88947719999734
42,2013-02-11,17,20.924114609439417
43,2013-02-12,27,20.958652738770844
44,2013-02-13,21,20.99309167328802
45,2013-02-14,27,21.02743149824611
46,2013-02-15,24,21.061672298858998
47,2013-02-16,26,21.09581416029929
48,2013-02-17,17,21.12985716769835
49,2013-02-18,15,21.163801406146256
50,2013-02-19,23,21.197646960691834
51,2013-02-20,24,21.231393916342636
52,2013-02-21,30,21.265042358064953
53,2013-02-22,15,21.2985923707838
54,2013-02-23,26,21.332044039382946
55,2013-02-24,13,21.365397448704876
56,2013-02-25,18,21.39865268355081
57,2013-02-26,21,21.43180982868072
58,2013-02-27,27,21.46486896881329
59,2013-02-28,33,21.497830188625947
60,2013-03-01,45,21.53069357275485
61,2013-03-02,31,21.563459205794906
62,2013-03-03,20,21.596127172299735
63,2013-03-04,24,21.628697556781702
64,2013-03-05,24,21.66117044371191
65,2013-03-06,28,21.693545917520183
66,2013-03-07,18,21.725824062595088
67,2013-03-08,33,21.758004963283938
68,2013-03-09,20,21.790088703892756
69,2013-03-10,21,21.822075368686306
70,2013-03-11,22,21.853965041888102
71,2013-03-12,27,21.88575780768037
72,2013-03-13,24,21.91745375020409
73,2013-03-14,30,21.94905295355896
74,2013-03-15,26,21.980555501803423
75,2013-03-16,14,22.01196147895465
76,2013-03-17,13,22.04327096898855
77,2013-03-18,22,22.074484055839758
78,2013-03-19,25,22.10560082340166
79,2013-03-20,24,22.13662135552635
80,2013-03-21,29,22.167545736024685
81,2013-03-22,44,22.19837404866624
82,2013-03-23,30,22.229106377179328
83,2013-03-24,29,22.259742805250983
84,2013-03-25,16,22.290283416527004
85,2013-03-26,22,22.320728294611882
86,2013-03-27,15,22.351077523068888
87,2013-03-28,13,22.381331185419988
88,2013-03-29,22,22.411489365145897
89,2013-03-30,17,22.441552145686085
90,2013-03-31,20,22.471519610438715
91,2013-04-01,19,22.501391842760718
92,2013-04-02,24,22.53116892596774
93,2013-04-03,32,22.56085094333417
94,2013-04-04,24,22.590437978093128
95,2013-04-05,25,22.619930113436475
96,2013-04-06,26,22.649327432514795
97,2013-04-07,21,22.67863001843741
98,2013-04-08,25,22.707837954272378
99,2013-04-09,18,22.73695132304649
100,2013-04-10,33,22.76597020774527
101,2013-04-11,20,22.794894691312983
102,2013-04-12,33,22.82372485665262
103,2013-04-13,24,22.852460786625905
104,2013-04-14,16,22.881102564053307
105,2013-04-15,17,22.909650271714014
106,2013-04-16,14,22.938103992345965
107,2013-04-17,22,22.966463808645813
108,2013-04-18,32,22.994729803268967
109,2013-04-19,33,23.02290205882955
110,2013-04-20,28,23.050980657900435
111,2013-04-21,12,23.078965683013223
112,2013-04-22,26,23.10685721665824
113,2013-04-23,35,23.134655341284567
114,2013-04-24,35,23.1623601393
115,2013-04-25,29,23.189971693071076
116,2013-04-26,27,23.217490084923064
117,2013-04-27,26,23.244915397139973
118,2013-04-28,20,23.27224771196454
119,2013-04-29,23,23.299487111598243
120,2013-04-30,24,23.326633678201283
121,2013-05-01,24,23.3536874938926
122,2013-05-02,20,23.38064864074988
123,2013-05-03,30,23.407517200809522
124,2013-05-04,27,23.434293256066677
125,2013-05-05,14,23.460976888475223
