Day,Date,Rides,Poly_Average
1,2013-01-01,6,5.4965382767435536
2,2013-01-02,8,5.499724981620469
3,2013-01-03,7,5.50290840585002
4,2013-01-04,3,5.506088544877388
5,2013-01-05,3,5.509265394138283
6,2013-01-06,5,5.512438949058923
7,2013-01-07,5,5.515609205056053
8,2013-01-08,6,5.5187761575369265
9,2013-01-09,5,5.52193980189932
10,2013-01-10,6,5.525100133531529
11,2013-01-11,4,5.528257147812361
12,2013-01-12,4,5.53141084011115
13,2013-01-13,8,5.534561205787739
14,2013-01-14,8,5.537708240192494
15,2013-01-15,4,5.540851938666297
16,2013-01-16,10,5.543992296540548
17,2013-01-17,2,5.547129309137166
18,2013-01-18,6,5.5502629717685865
19,2013-01-19,5,5.5533932797377625
20,2013-01-20,6,5.556520228338165
21,2013-01-21,2,5.5596438128537855
22,2013-01-22,9,5.562764028559128
23,2013-01-23,7,5.565880870719219
24,2013-01-24,1,5.568994334589602
25,2013-01-25,4,5.572104415416335
26,2013-01-26,2,5.575211108435997
27,2013-01-27,4,5.578314408875685
28,2013-01-28,7,5.5814143119530115
29,2013-01-29,5,5.584510812876109
30,2013-01-30,4,5.587603906843626
31,2013-01-31,8,5.590693589044729
32,2013-02-01,5,5.593779854659107
33,2013-02-02,1,5.596862698856957
34,2013-02-03,4,5.599942116799003
35,2013-02-04,5,5.603018103636482
36,2013-02-05,6,5.606090654511151
37,2013-02-06,4,5.609159764555284
38,2013-02-07,5,5.612225428891671
39,2013-02-08,9,5.615287642633623
40,2013-02-09,3,5.618346400884968
41,2013-02-10,7,5.6214016987400495
42,2013-02-11,6,5.624453531283729
43,2013-02-12,9,5.627501893591392
44,2013-02-13,3,5.630546780728933
45,2013-02-14,2,5.6335881877527685
46,2013-02-15,9,5.636626109709834
47,2013-02-16,4,5.63966054163758
48,2013-02-17,5,5.642691478563978
49,2013-02-18,2,5.645718915507514
50,2013-02-19,8,5.648742847477193
51,2013-02-20,4,5.651763269472538
52,2013-02-21,8,5.654780176483593
53,2013-02-22,6,5.657793563490911
54,2013-02-23,12,5.6608034254655735
55,2013-02-24,9,5.663809757369171
56,2013-02-25,9,5.666812554153818
57,2013-02-26,11,5.669811810762143
58,2013-02-27,10,5.672807522127293
59,2013-02-28,11,5.6757996831729365
60,2013-03-01,10,5.678788288813253
61,2013-03-02,9,5.681773333952946
62,2013-03-03,6,5.684754813487233
63,2013-03-04,12,5.687732722301849
64,2013-03-05,6,5.6907070552730525
65,2013-03-06,8,5.693677807267612
66,2013-03-07,4,5.696644973142821
67,2013-03-08,10,5.699608547746482
68,2013-03-09,4,5.702568525916925
69,2013-03-10,3,5.705524902482992
70,2013-03-11,4,5.708477672264044
71,2013-03-12,13,5.711426830069961
72,2013-03-13,8,5.714372370701137
73,2013-03-14,6,5.717314288948488
74,2013-03-15,7,5.720252579593447
75,2013-03-16,11,5.723187237407964
76,2013-03-17,11,5.726118257154506
77,2013-03-18,4,5.729045633586059
78,2013-03-19,7,5.731969361446128
79,2013-03-20,7,5.734889435468732
80,2013-03-21,7,5.73780585037841
81,2013-03-22,8,5.7407186008902205
82,2013-03-23,11,5.743627681709738
83,2013-03-24,5,5.746533087533054
84,2013-03-25,5,5.74943481304678
85,2013-03-26,6,5.752332852928042
86,2013-03-27,7,5.755227201844487
87,2013-03-28,8,5.758117854454279
88,2013-03-29,4,5.761004805406101
89,2013-03-31,9,5.763888049339148
90,2013-04-01,9,5.7667675808831405
91,2013-04-02,10,5.769643394658312
92,2013-04-03,7,5.772515485275415
93,2013-04-04,9,5.7753838473357195
94,2013-04-05,6,5.778248475431017
95,2013-04-06,6,5.781109364143609
96,2013-04-07,5,5.783966508046321
97,2013-04-08,9,5.786819901702495
98,2013-04-09,7,5.789669539665991
99,2013-04-10,10,5.792515416481184
100,2013-04-11,7,5.795357526682971
101,2013-04-12,6,5.798195864796764
102,2013-04-13,5,5.801030425338494
103,2013-04-14,6,5.803861202814608
104,2013-04-15,9,5.806688191722073
105,2013-04-16,3,5.809511386548374
106,2013-04-17,10,5.812330781771512
107,2013-04-18,8,5.8151463718600045
108,2013-04-19,5,5.817958151272893
109,2013-04-20,4,5.820766114459728
110,2013-04-21,11,5.823570255860585
111,2013-04-22,6,5.8263705699060555
112,2013-04-23,8,5.829167051017246
113,2013-04-24,7,5.831959693605784
114,2013-04-25,10,5.834748492073812
115,2013-04-26,4,5.837533440813995
116,2013-04-27,1,5.84031453420951
117,2013-04-28,4,5.843091766634055
118,2013-04-29,7,5.845865132451845
119,2013-04-30,10,5.848634626017614
120,2013-05-01,8,5.851400241676613
121,2013-05-02,2,5.85416197376461
122,2013-05-03,6,5.856919816607891
123,2013-05-04,3,5.859673764523261
124,2013-05-05,4,5.862423811818042
125,2013-05-06,5,5.8651699527900725
126,2013-05-07,7,5.8679121817277125
127,2013-05-08,5,5.870650492909836
128,2013-05-09,5,5.873384880605837
129,2013-05-10,8,5.876115339075625
130,2013-05-11,5,5.8788418625696295
131,2013-05-12,8,5.881564445328798
132,2013-05-13,8,5.884283081584593
133,2013-05-14,4,5.886997765558999
134,2013-05-15,4,5.889708491464514
135,2013-05-16,6,5.892415253504158
136,2013-05-17,6,5.895118045871464
137,2013-05-18,7,5.897816862750487
138,2013-05-19,7,5.900511698315798
139,2013-05-20,6,5.903202546732486
140,2013-05-21,7,5.905889402156157
141,2013-05-22,3,5.908572258732935
142,2013-05-23,9,5.911251110599466
