Date,Predicted_Poly
2017-01-01,2.1351743390273477
2017-01-02,2.130235390978201
2017-01-03,2.1252909373904245
2017-01-04,2.1203409911797464
2017-01-05,2.1153855652982485
2017-01-06,2.110424672734357
2017-01-07,2.1054583265128337
2017-01-08,2.1004865396948036
2017-01-09,2.095509325377722
2017-01-10,2.0905266966953975
2017-01-11,2.0855386668179774
2017-01-13,2.0805452489519647
2017-01-14,2.0755464563401986
2017-01-16,2.070542302261867
2017-01-17,2.0655328000325066
2017-01-18,2.0605179630039965
2017-01-19,2.055497804564556
2017-01-20,2.050472338138764
2017-01-21,2.0454415771875283
2017-01-23,2.040405535208112
2017-01-26,2.0353642257341287
2017-01-27,2.030317662335522
2017-01-28,2.025265858618593
2017-01-29,2.0202088282259854
2017-01-31,2.0151465848366885
2017-02-01,2.010079142166033
2017-02-02,2.005006513965705
2017-02-04,1.999928714023723
2017-02-05,1.994845756164462
2017-02-06,1.9897576542486393
2017-02-07,1.9846644221733145
2017-02-08,1.979566073871894
2017-02-09,1.9744626233141318
2017-02-10,1.9693540845061275
2017-02-14,1.9642404714903217
2017-02-15,1.9591217983455071
2017-02-16,1.9539980791868148
2017-02-17,1.9488693281657294
2017-02-19,1.9437355594700731
2017-02-20,1.9385967873240229
2017-02-21,1.9334530259880878
2017-02-22,1.9283042897591338
2017-02-23,1.9231505929703716
2017-02-24,1.9179919499913534
2017-02-25,1.9128283752279729
2017-02-26,1.907659883122479
2017-02-27,1.9024864881534604
2017-02-28,1.8973082048358543
2017-03-01,1.8921250477209401
2017-03-03,1.8869370313963434
2017-03-04,1.8817441704860358
2017-03-06,1.8765464796503322
2017-03-07,1.8713439735859052
2017-03-08,1.8661366670257569
2017-03-09,1.860924574739237
2017-03-10,1.8557077115320508
2017-03-11,1.8504860922462405
2017-03-12,1.8452597317602004
2017-03-14,1.8400286449886627
2017-03-15,1.834792846882709
2017-03-16,1.829552352429768
2017-03-18,1.8243071766536079
2017-03-19,1.8190573346143517
2017-03-20,1.8138028414084597
2017-03-21,1.8085437121687442
2017-03-22,1.8032799620643534
2017-03-23,1.7980116063007943
2017-03-24,1.792738660119908
2017-03-25,1.7874611387998907
2017-03-26,1.7821790576552696
2017-03-27,1.7768924320369321
2017-03-28,1.771601277332107
2017-03-29,1.7663056089643647
2017-03-30,1.761005442393626
2017-03-31,1.7557007931161497
2017-04-02,1.750391676664552
2017-04-03,1.745078108607785
2017-04-04,1.739760104551149
2017-04-06,1.7344376801362893
2017-04-07,1.7291108510411974
2017-04-08,1.723779632980209
2017-04-09,1.718444041704013
2017-04-10,1.7131040929996306
2017-04-11,1.7077598026904388
2017-04-12,1.7024111866361493
2017-04-13,1.697058260732839
2017-04-15,1.6917010409129096
2017-04-16,1.686339543145118
2017-04-17,1.680973783434566
2017-04-18,1.6756037778227033
2017-04-20,1.6702295423873132
2017-04-21,1.6648510932425387
2017-04-22,1.659468446538864
2017-04-26,1.6540816184631195
2017-04-27,1.6486906252384732
2017-04-28,1.6432954831244437
2017-04-29,1.6378962084169029
2017-04-30,1.632492817448059
2017-05-01,1.6270853265864629
2017-05-03,1.6216737522370206
2017-05-04,1.6162581108409815
2017-05-05,1.610838418875936
2017-05-06,1.6054146928558204
2017-05-07,1.59998694933092
2017-05-08,1.5945552048878606
2017-05-09,1.5891194761496252
2017-05-10,1.5836797797755229
2017-05-11,1.5782361324612268
2017-05-12,1.5727885509387427
2017-05-13,1.5673370519764314
2017-05-14,1.5618816523789953
2017-05-15,1.5564223689874783
2017-05-16,1.550959218679278
2017-05-17,1.545492218368127
2017-05-18,1.5400213850041173
2017-05-19,1.5345467355736715
2017-05-20,1.5290682870995695
2017-05-21,1.5235860566409252
2017-05-22,1.5181000612932114
2017-05-24,1.512610318188234
2017-05-25,1.5071168444941598
2017-05-26,1.5016196574154823
2017-05-27,1.4961187741930524
2017-05-29,1.4906142121040622
2017-05-30,1.4851059884620517
2017-05-31,1.4795941206169072
2017-06-01,1.4740786259548595
2017-06-02,1.4685595218984853
2017-06-03,1.4630368259066966
2017-06-04,1.4575105554747685
2017-06-05,1.4519807281343122
2017-06-08,1.4464473614532793
2017-06-09,1.4409104730359843
2017-06-10,1.4353700805230676
2017-06-11,1.4298262015915228
2017-06-12,1.4242788539546942
2017-06-13,1.4187280553622648
2017-06-14,1.413173823600261
2017-06-15,1.4076161764910657
2017-06-16,1.4020551318933974
2017-06-18,1.3964907077023274
2017-06-19,1.3909229218492634
2017-06-20,1.3853517923019583
2017-06-21,1.379777337064525
2017-06-22,1.3741995741774127
2017-06-24,1.3686185217174152
2017-06-25,1.3630341977976679
2017-06-26,1.3574466205676576
2017-06-28,1.35185580821322
2017-06-29,1.3462617789565279
2017-06-30,1.340664551056102
2017-07-01,1.3350641428068193
2017-07-02,1.3294605725398823
2017-07-03,1.323853858622853
2017-07-04,1.3182440194596379
2017-07-05,1.3126310734904867
2017-07-06,1.3070150391919881
2017-07-07,1.3013959350770925
2017-07-08,1.2957737796950841
2017-07-09,1.2901485916315885
2017-07-10,1.2845203895085842
2017-07-11,1.278889191984399
2017-07-12,1.2732550177536979
2017-07-13,1.2676178855474944
2017-07-15,1.261977814133148
2017-07-16,1.2563348223143649
2017-07-17,1.2506889289311922
2017-07-18,1.2450401528600339
2017-07-19,1.2393885130136177
2017-07-20,1.2337340283410407
2017-07-21,1.228076717827732
2017-07-22,1.2224166004954702
2017-07-23,1.2167536954023794
2017-07-26,1.211088021642924
2017-07-27,1.205419598347922
2017-07-28,1.1997484446845328
2017-07-29,1.1940745798562586
2017-07-30,1.1883980231029607
