Day,Date,Rides,20_ExpMA,Poly_Average
1,01/01/2013,7900,7900.0,4392.632898645141
2,01/02/2013,2632,5134.3,4397.752801988823
3,01/03/2013,2073,4010.208992506245,4402.8536413393895
4,01/04/2013,3654,3907.376963840399,4407.935446316829
5,01/05/2013,5851,4377.522836414383,4412.998246510968
6,01/06/2013,4522,4408.000918589349,4418.042071481472
7,01/07/2013,2623,4070.5014268882564,4423.066950757841
8,01/08/2013,2087,3727.643238572463,4428.072913839416
9,01/09/2013,1993,3449.397981113538,4433.059990195375
10,01/10/2013,2542,3312.751707610872,4438.028209264729
11,01/11/2013,4033,3415.5259711448657,4442.977600456332
12,01/12/2013,7551,3978.893966994927,4447.9081931488745
13,01/13/2013,5872,4226.633452323515,4452.820016690883
14,01/14/2013,2568,4017.0447861245552,4457.713100400722
15,01/15/2013,2101,3782.237231138493,4462.587473566594
16,01/16/2013,2203,3593.8496425136436,4467.443165446539
17,01/17/2013,2673,3486.5813011712767,4472.280205268435
18,01/18/2013,4483,3600.237333989841,4477.098622229995
19,01/19/2013,7529,4040.0889707164442,4481.898445498775
20,01/20/2013,6999,4365.911805503927,4486.679704212162
21,01/21/2013,3324,4252.862770066558,4491.4424274773855
22,01/22/2013,2456,4060.452416448642,4496.186644371512
23,01/23/2013,2441,3889.0691124283553,4500.912383941442
24,01/24/2013,2867,3782.0390803120613,4505.619675203918
25,01/25/2013,4558,3862.533753695913,4510.308547145516
26,01/26/2013,7769,4264.3584230880015,4514.979028722654
27,01/27/2013,6355,4477.7778209969765,4519.631148861585
28,01/28/2013,2715,4299.051210628166,4524.2649364583995
29,01/29/2013,2393,4106.9796773982025,4528.880420379022
30,01/30/2013,2593,3955.256156794118,4533.477629459225
31,01/31/2013,3171,3877.0511230183893,4538.056592504607
32,02/01/2013,5113,3999.748620970747,4542.617338290612
33,02/02/2013,7950,4390.32926838753,4547.159895562518
34,02/03/2013,6942,4641.7111933393235,4551.68429303544
35,02/04/2013,3207,4500.83020350762,4556.190559394333
36,02/05/2013,2360,4291.231784697954,4560.678723293988
37,02/06/2013,2375,4104.121762872022,4565.1488133590365
38,02/07/2013,3028,3999.296376416787,4569.60085818394
39,02/08/2013,4735,4070.8061795195476,4574.034886333006
40,02/09/2013,7281,4382.223726127802,4578.450926340376
41,02/10/2013,5593,4499.472236095917,4582.849006710028
42,02/11/2013,2745,4329.844882753725,4587.229155915779
43,02/12/2013,2406,4144.110439730025,4591.591402401287
44,02/13/2013,2622,3997.352346099378,4595.93577458004
45,02/14/2013,3440,3943.6771276665745,4600.2623008353685
46,02/15/2013,5356,4079.544551855799,4604.571009520439
47,02/16/2013,9319,4583.102376683349,4608.861928958257
48,02/17/2013,7953,4906.697466118028,4613.135087441664
49,02/18/2013,3270,4749.656873671646,4617.390513233342
50,02/19/2013,2652,4548.530492947679,4621.628234565806
51,02/20/2013,2882,4388.8438693479775,4625.848279641415
52,02/21/2013,3182,4273.2715567994455,4630.050676632356
53,02/22/2013,5156,4357.760807022202,4634.235453680662
54,02/23/2013,8472,4751.362852809992,4638.4026388982
55,02/24/2013,6441,4912.937972866419,4642.552260366676
56,02/25/2013,3059,4735.7201800382345,4646.684346137634
57,02/26/2013,2536,4525.5230454913735,4650.798924232451
58,02/27/2013,2738,4354.768282444663,4654.896022642348
59,02/28/2013,3242,4248.500666452433,4658.97566932838
60,03/01/2013,5368,4355.38326271616,4663.0378922214395
61,03/02/2013,8407,4742.114505809508,4667.082719222257
62,03/03/2013,6430,4903.190711125719,4671.110178201402
63,03/04/2013,3102,4731.33481376135,4675.120296999279
64,03/05/2013,2411,4509.984719159475,4679.1131034261325
65,03/06/2013,2814,4348.220478009074,4683.088625262044
66,03/07/2013,3204,4239.099469844369,4687.04689025693
67,03/08/2013,5253,4335.779766439512,4690.98792613055
68,03/09/2013,8250,4708.97595021501,4694.911760572493
69,03/10/2013,6546,4884.106101795614,4698.818421242195
70,03/11/2013,3190,4722.616261653997,4702.707935768922
71,03/12/2013,2640,4524.109034164518,4706.580331751781
72,03/13/2013,2862,4365.695374834438,4710.4356367597165
73,03/14/2013,3508,4283.955217790575,4714.273878331511
74,03/15/2013,5873,4435.384807957747,4718.095083975782
75,03/17/2013,8617,4833.852885155179,4721.899281170985
76,03/18/2013,3256,4683.50641643401,4725.686497365418
77,03/19/2013,2766,4500.8045553160255,4729.456759977212
78,03/20/2013,2840,4342.568278657069,4733.210096394334
79,03/21/2013,3677,4279.157468890025,4736.946533974593
80,03/22/2013,6176,4459.869357198159,4740.666100045633
81,03/23/2013,8113,4807.891487890209,4744.368821904937
82,03/24/2013,5966,4918.217631468547,4748.054726819824
83,03/25/2013,2509,4688.7116908724465,4751.723842027452
84,03/26/2013,2429,4473.452987152779,4755.376194734814
85,03/27/2013,2681,4302.708683367734,4759.011812118745
86,03/28/2013,3761,4251.107948137027,4762.630721325913
87,03/29/2013,5577,4377.404268612788,4766.232949472827
88,03/30/2013,6070,4538.6279859981405,4769.818523645834
89,03/31/2013,4222,4508.468856781501,4773.3874709011125
90,04/01/2013,2593,4326.020903996806,4776.939818264684
91,04/02/2013,2596,4161.238747063007,4780.475592732408
92,04/03/2013,2836,4035.012876821555,4783.99482126998
93,04/04/2013,3489,3983.006932614818,4787.497530812931
94,04/05/2013,5910,4166.545146270389,4790.9837482666335
95,04/06/2013,8541,4583.190834648821,4794.453500506295
96,04/07/2013,6596,4774.899826228303,4797.906814376963
97,04/08/2013,5090,4804.911190959722,4801.343716693518
98,04/09/2013,3555,4685.865482412221,4804.764234240682
99,04/10/2013,2946,4520.155761878354,4808.168393773014
100,04/11/2013,4092,4479.37718669415,4811.55622201491
101,04/12/2013,6433,4665.444081633317,4814.927745660604
102,04/13/2013,9057,5083.702917459589,4818.282991374166
103,04/14/2013,6082,5178.782000515088,4821.621985789507
104,04/15/2013,2990,4970.32028271266,4824.944755510369
