Day,Date,Rides,20_ExpMA,Poly_Average,Revenue
1,2013-01-01,197,197.0,178.25973144400712,116.0
2,2013-01-02,164,179.675,178.6555882517419,67.5
3,2013-01-03,150,168.77851790174853,179.05064259374012,37.5
4,2013-01-04,192,175.48220074812966,179.44489469377248,61.11
5,2013-01-05,163,172.46286260837985,179.83834477614394,46.5
6,2013-01-06,149,167.51327032063855,180.2309930656941,56.01
7,2013-01-07,160,166.09269687004763,180.62283978779647,70.0
8,2013-01-08,149,163.13813832884742,181.0138851683593,3366.16
9,2013-01-09,148,160.70990691901275,181.40412943382518,84.0
10,2013-01-10,140,157.59117438491856,181.7935728111708,29.0
11,2013-01-11,187,161.78760279152246,182.18221552790746,67.5
12,2013-01-12,166,162.36144989018777,182.57005781208068,39.0
13,2013-01-13,145,160.08946058511663,182.95709989227046,35.0
14,2013-01-14,156,159.57270711658683,183.3433419975911,47.56
15,2013-01-15,146,157.90939830686227,183.72878435769115,29.5
16,2013-01-16,157,157.8009159644052,184.11342720275368,50.5
17,2013-01-17,172,159.45494515957486,184.49727076349612,55.7
18,2013-01-18,254,170.23918261759087,184.88031527117025,193.44
19,2013-01-19,184,171.77979948933873,185.262560957562,71.24000000000002
20,2013-01-20,146,168.94103642186556,185.64400805499199,35.55999999999999
21,2013-01-21,148,166.66890172097726,186.02465679631496,97.0
22,2013-01-22,163,166.27603105256418,186.40450741492012,18.5
23,2013-01-23,181,167.8342382717904,186.7835601447311,34.0
24,2013-01-24,208,172.04035575980626,187.16181522020563,97.5
25,2013-01-25,220,177.01547216163826,187.5392728763361,160.53
26,2013-01-26,182,177.52818777837248,187.9159333486492,64.05
27,2013-01-27,156,175.33052131824306,188.29179687320573,76.5
28,2013-01-28,163,174.08033978484738,188.66686368660115,108.5
29,2013-01-29,177,174.3745520341867,189.0411340259652,52.66
30,2013-01-30,161,173.03422088481713,189.414608128962,42.65
31,2013-01-31,207,176.42124549394512,189.78728623378976,87.73
32,2013-02-01,301,188.7886676103386,190.15916857918148,157.78
33,2013-02-02,234,193.25893286208282,190.5302554044044,96.5
34,2013-02-03,192,193.1349070768063,190.90054694925976,74.5
35,2013-02-04,191,192.9252705844059,191.2700434540836,102.0
36,2013-02-05,214,194.9885962769866,191.63874515974618,44.5
37,2013-02-06,176,193.13445906237467,192.00665230765202,50.5
38,2013-02-07,209,194.67992679426902,192.3737651397402,76.95
39,2013-02-08,227,197.8214120297937,192.740083898484,66.5
40,2013-02-09,210,199.0028441173636,193.10560882689097,65.0
41,2013-02-10,187,197.8405190714328,193.4703401685034,118.6
42,2013-02-11,222,200.17632622968867,193.83427816739757,46.0
43,2013-02-12,146,194.9459618341255,194.19742306818412,56.0
44,2013-02-13,179,193.4084919509951,194.55977511600847,60.1
45,2013-02-14,208,194.81371144504692,194.92133455654988,1237.76
46,2013-02-15,254,200.5075147040677,195.28210163602228,66.03
47,2013-02-16,210,201.41982616374813,195.64207660117387,92.5
48,2013-02-17,168,198.2106807103305,196.0012596992873,64.5
49,2013-02-18,184,196.84717049294758,196.35965117817932,71.5
50,2013-02-19,201,197.24534980387332,196.71725128620147,61.0
51,2013-02-20,201,197.6051196461622,197.07406027223928,52.5
52,2013-02-21,222,199.941273318104,197.4300783857127,60.66
53,2013-02-22,206,200.5211767738055,197.78530587657627,60.5
54,2013-02-23,206,201.04532618009685,198.13974299531867,45.0
55,2013-02-24,173,198.36343264330588,198.4933899929629,57.32
56,2013-02-25,193,197.8507425161601,198.8462471210666,49.0
57,2013-02-26,191,197.19611086824287,199.19831463172144,74.0
58,2013-02-27,211,198.51473991963408,199.54959277755376,47.5
59,2013-02-28,199,198.5610814919904,199.90008181172402,87.5
60,2013-03-01,237,202.2309822097396,200.2497819879271,88.5
61,2013-03-02,250,206.7905871351947,200.59869356039226,53.99
62,2013-03-03,196,205.76083314130506,200.9468167838833,268.33
63,2013-03-04,237,208.74143648344693,201.29415191369796,36.04
64,2013-03-05,151,203.2331484759328,201.64069920566882,65.5
65,2013-03-06,177,200.73101192466828,201.9864589161624,47.0
66,2013-03-07,184,199.13542355343742,202.33143130208,44.5
67,2013-03-08,235,202.5552835742036,202.67561662085686,63.34
68,2013-03-09,213,203.5511213345073,203.01901513046292,58.0
69,2013-03-10,188,202.06857665204697,203.3616270894022,76.18
70,2013-03-11,221,203.8732053744592,203.7034527567133,95.04
71,2013-03-12,207,204.17123979562146,204.04449239196916,45.88
72,2013-03-13,249,208.44381626397328,204.38474625527692,83.2
73,2013-03-14,163,204.1129258487059,204.72421460727818,75.0
74,2013-03-15,226,206.19867617229386,205.062897709149,91.5
75,2013-03-16,212,206.75148704671983,205.4007958225997,84.14999999999998
76,2013-03-17,207,206.7751667226317,205.73790920987489,33.5
77,2013-03-18,212,207.27299387753723,206.0742381337537,48.0
