Day,Date,Rides,20_ExpMA,Poly_Average
1,2013-01-01,1,1.0,1.0000000000000004
2,2013-01-07,1,1.0,1.0000000000000004
3,2013-01-09,1,1.0,1.0000000000000004
4,2013-01-11,1,1.0,1.0000000000000004
5,2013-01-19,1,1.0,1.0000000000000004
6,2013-01-30,1,1.0,1.0000000000000004
7,2013-02-01,1,1.0,1.0000000000000004
8,2013-02-05,1,1.0,1.0000000000000004
9,2013-02-11,1,1.0,1.0000000000000004
10,2013-02-20,1,1.0,1.0000000000000004
11,2013-02-26,1,1.0,1.0000000000000004
12,2013-03-01,1,1.0,1.0000000000000004
13,2013-03-04,1,1.0,1.0000000000000004
14,2013-03-17,1,1.0,1.0000000000000004
15,2013-03-20,1,1.0,1.0000000000000004
16,2013-03-28,1,1.0,1.0000000000000004
17,2013-03-29,1,1.0,1.0000000000000004
18,2013-03-31,1,1.0,1.0000000000000004
19,2013-04-06,1,1.0,1.0000000000000004
20,2013-04-09,1,1.0,1.0000000000000004
21,2013-04-15,1,1.0,1.0000000000000004
22,2013-04-16,1,1.0,1.0000000000000004
23,2013-04-19,1,1.0,1.0000000000000004
24,2013-04-20,1,1.0,1.0000000000000004
25,2013-05-09,1,1.0,1.0000000000000004
26,2013-05-11,1,1.0,1.0000000000000004
27,2013-05-15,1,1.0,1.0000000000000004
28,2013-05-19,1,1.0,1.0000000000000004
29,2013-05-20,1,1.0,1.0000000000000004
30,2013-05-22,1,1.0,1.0000000000000004
31,2013-05-23,1,1.0,1.0000000000000004
32,2013-05-25,1,1.0,1.0000000000000004
33,2013-05-29,1,1.0,1.0000000000000004
34,2013-06-19,1,1.0,1.0000000000000004
35,2013-06-26,1,1.0,1.0000000000000004
36,2013-06-29,1,1.0,1.0000000000000004
37,2013-07-08,1,1.0,1.0000000000000004
38,2013-07-11,1,1.0,1.0000000000000004
39,2013-07-12,1,1.0,1.0000000000000004
40,2013-07-25,1,1.0,1.0000000000000004
41,2013-07-31,1,1.0,1.0000000000000004
42,2013-08-02,1,1.0,1.0000000000000004
43,2013-08-07,1,1.0,1.0000000000000004
44,2013-08-11,1,1.0,1.0000000000000004
45,2013-08-19,1,1.0,1.0000000000000004
46,2013-08-21,1,1.0,1.0000000000000004
47,2013-08-23,1,1.0,1.0000000000000004
48,2013-09-04,1,1.0,1.0000000000000004
49,2013-09-11,1,1.0,1.0000000000000004
50,2013-09-12,1,1.0,1.0000000000000004
51,2013-09-15,1,1.0,1.0000000000000004
52,2013-09-19,1,1.0,1.0000000000000004
53,2013-09-25,1,1.0,1.0000000000000004
54,2013-10-02,1,1.0,1.0000000000000004
55,2013-10-04,1,1.0,1.0000000000000004
56,2013-10-05,1,1.0,1.0000000000000004
57,2013-10-08,1,1.0,1.0000000000000004
58,2013-10-16,1,1.0,1.0000000000000004
59,2013-10-24,1,1.0,1.0000000000000004
60,2013-10-25,1,1.0,1.0000000000000004
61,2013-10-28,1,1.0,1.0000000000000004
62,2013-10-30,1,1.0,1.0000000000000004
63,2013-11-03,1,1.0,1.0000000000000004
64,2013-11-08,1,1.0,1.0000000000000004
65,2013-11-09,1,1.0,1.0000000000000004
66,2013-11-10,1,1.0,1.0000000000000004
67,2013-11-12,1,1.0,1.0000000000000004
68,2013-11-13,1,1.0,1.0000000000000004
69,2013-11-21,1,1.0,1.0000000000000004
70,2013-11-28,1,1.0,1.0000000000000004
71,2013-11-29,1,1.0,1.0000000000000004
72,2013-12-06,1,1.0,1.0000000000000004
73,2013-12-07,1,1.0,1.0000000000000004
74,2013-12-13,1,1.0,1.0000000000000004
75,2013-12-17,1,1.0,1.0000000000000004
76,2013-12-20,1,1.0,1.0000000000000004
77,2013-12-26,1,1.0,1.0000000000000004
78,2013-12-28,1,1.0,1.0000000000000004
79,2013-12-31,1,1.0,1.0000000000000004
80,2014-01-07,1,1.0,1.0000000000000004
81,2014-01-10,1,1.0,1.0000000000000004
82,2014-01-14,1,1.0,1.0000000000000004
83,2014-01-16,1,1.0,1.0000000000000004
84,2014-01-17,1,1.0,1.0000000000000004
85,2014-01-27,1,1.0,1.0000000000000004
86,2014-02-02,1,1.0,1.0000000000000004
87,2014-02-06,1,1.0,1.0000000000000004
88,2014-02-07,1,1.0,1.0000000000000004
89,2014-02-08,1,1.0,1.0000000000000004
90,2014-02-10,1,1.0,1.0000000000000004
91,2014-02-12,1,1.0,1.0000000000000004
92,2014-02-14,1,1.0,1.0000000000000009
93,2014-02-21,1,1.0,1.0000000000000009
94,2014-02-25,1,1.0,1.0000000000000004
95,2014-02-26,1,1.0,1.0000000000000004
96,2014-03-02,1,1.0,1.0000000000000004
97,2014-03-09,1,1.0,1.0000000000000004
98,2014-03-11,1,1.0,1.0000000000000004
99,2014-03-16,1,1.0,1.0000000000000004
100,2014-04-04,1,1.0,1.0000000000000004
101,2014-04-07,1,1.0,1.0000000000000004
102,2014-04-08,1,1.0,1.0000000000000004
103,2014-04-09,1,1.0,1.0000000000000004
104,2014-04-13,1,1.0,1.0000000000000004
105,2014-04-19,1,1.0,1.0000000000000004
106,2014-04-28,1,1.0,1.0000000000000004
107,2014-04-29,1,1.0,1.0000000000000004
108,2014-05-06,1,1.0,1.0000000000000004
109,2014-05-10,1,1.0,1.0000000000000004
110,2014-05-11,1,1.0,1.0000000000000004
111,2014-05-12,1,1.0,1.0000000000000004
112,2014-05-25,1,1.0,1.0000000000000004
113,2014-06-06,1,1.0,1.0000000000000004
114,2014-06-24,1,1.0,1.0000000000000004
