Day,Date,Rides,20_ExpMA,Poly_Average,Revenue
1,2013-01-01,880,880.0,436.30520966413667,705.6
2,2013-01-02,208,527.2,436.77269219211416,101.0
3,2013-01-03,178,398.9758534554538,437.23906141152094,74.5
4,2013-01-04,380,393.4978179551123,437.704316279878,157.0
5,2013-01-05,606,444.9002874374535,438.16845575837874,355.0
6,2013-01-06,373,429.7326110065433,438.63147881188974,193.75
7,2013-01-07,247,395.18239722813246,439.0933844089499,131.5
8,2013-01-08,187,359.19702379441947,439.55417152177137,50.5
9,2013-01-09,206,334.62347208087016,440.01383912623885,49.0
10,2013-01-10,267,324.43996313166264,440.47238620190984,72.53999999999998
11,2013-01-11,443,341.3576297231212,440.9298117320146,190.5
12,2013-01-12,722,393.21183743479867,441.3861147034562,463.0
13,2013-01-13,500,407.1865667800397,441.8412941068104,310.5
14,2013-01-14,236,385.55504587206184,442.295348936326,70.5
15,2013-01-15,242,367.96265472795443,442.7482781899242,80.5
16,2013-01-16,271,356.39595635566826,443.2000808691992,81.0
17,2013-01-17,258,344.93396457571055,443.650755979418,106.0
18,2013-01-18,427,354.2947885209422,444.10030252952066,218.0
19,2013-01-19,721,395.3499250046744,444.54871953211915,458.0
20,2013-01-20,596,417.4446671541629,444.99600600349885,378.84
21,2013-01-21,249,399.16816136379373,445.44216096361816,110.2
22,2013-01-22,261,384.37293869592116,445.8871834361077,121.0
23,2013-01-23,286,373.96233379722105,446.33107244827113,127.0
24,2013-01-24,303,366.53123077981513,446.7738270310849,128.0
25,2013-01-25,605,391.2689014583173,447.2154462191981,250.02
26,2013-01-26,857,439.1746640830889,447.65592905093285,504.0
27,2013-01-27,542,449.6714041859952,448.0952745682836,423.0
28,2013-01-28,283,432.7727259970868,448.5334818169182,104.0
29,2013-01-29,255,414.85868472771415,448.9705498461768,81.17
30,2013-01-30,263,399.6401618999903,449.4064777090725,117.0
31,2013-01-31,357,395.3881387915932,449.8412644622912,110.5
32,2013-02-01,568,412.5239960115892,450.27490916619166,327.97
33,2013-02-02,811,451.9232647376449,450.70741088480486,529.7
34,2013-02-03,591,465.62463184317613,451.1387686858353,328.0
35,2013-02-04,312,450.53951206640517,451.5689816406602,135.5
36,2013-02-05,254,431.29727095113725,451.99804882432886,128.2
37,2013-02-06,244,413.00867103568993,452.42596931556415,89.0
38,2013-02-07,332,405.1175888733165,452.8527421967611,57.5
39,2013-02-08,540,418.2280512286834,453.27836655398806,256.16
40,2013-02-09,804,455.65138469540494,453.7028414769857,559.12
41,2013-02-10,547,464.49735340427384,454.1261660591677,343.61
42,2013-02-11,277,446.3695773344712,454.5483393976206,129.0
43,2013-02-12,258,428.1837460117562,454.9693605931035,65.0
44,2013-02-13,308,416.595928866764,455.3892287500485,99.5
45,2013-02-14,422,417.11636212686034,455.8079429765603,157.5
46,2013-02-15,536,428.55313340096785,456.22550238441653,254.0
47,2013-02-16,875,471.46061019329596,456.64190608906716,602.5
48,2013-02-17,651,488.70091580363913,457.05715320963577,437.06
49,2013-02-18,296,470.21132526584734,457.471242868918,125.0
50,2013-02-19,262,450.2477216841226,457.88417419338265,86.5
51,2013-02-20,340,439.6838067063906,458.2959463131709,125.25
52,2013-02-21,322,428.4139233055493,458.70655836209716,183.0
53,2013-02-22,564,441.3913752601098,459.11600947764845,266.5
54,2013-02-23,831,478.66454888013845,459.52429880098435,498.5
55,2013-02-24,575,487.8768298164734,459.9314254769377,340.0
56,2013-02-25,364,476.03545287510485,460.3373886540136,178.04000000000005
57,2013-02-26,308,459.97860572829313,460.7421874843903,77.02
58,2013-02-27,323,446.8935999586618,461.14582112391855,176.5
59,2013-02-28,352,437.8314108222376,461.5482887321222,124.5
60,2013-03-01,615,454.746328250276,461.94958947219766,442.11
61,2013-03-02,957,502.6869898228669,462.349722511014,610.5
62,2013-03-03,643,516.0771678376776,462.7486870191134,402.07
63,2013-03-04,345,499.7542876364335,463.1464821707105,138.5
64,2013-03-05,256,476.5011629977207,463.54310714369313,73.52
65,2013-03-06,356,465.0076754858004,463.9385611196212,114.51
66,2013-03-07,402,458.9988151277964,464.33284328372827,218.03
67,2013-03-08,601,472.5393117169432,464.72595282492006,6944.16
68,2013-03-09,939,517.0133929799129,465.1178889357752,595.5
69,2013-03-10,598,524.7341393496115,465.50865081254534,452.35
70,2013-03-11,327,505.8852286938599,465.89823765515433,141.5
71,2013-03-12,302,486.4516478564889,466.2866486671997,98.0
72,2013-03-13,286,467.34683679837866,466.67388305595085,104.03
73,2013-03-14,329,454.16209487458804,467.0599400323506,181.5
74,2013-03-15,637,471.58581341930324,467.4448188110141,309.5
75,2013-03-17,736,496.7819655451703,467.8285186102297,1463.36
76,2013-03-18,350,482.7957755782277,468.2110386519582,592.95
77,2013-03-19,316,466.9033131783197,468.5923781618332,127.5
78,2013-03-20,284,449.4768561197303,468.9725363691613,134.5
79,2013-03-21,402,444.9535848216751,469.35151250692184,166.5
80,2013-03-22,645,464.0119751958059,469.7293058117665,143.5
81,2013-03-23,866,502.3080950404946,470.1059155240205,336.35
82,2013-03-24,612,512.7577936044894,470.4813408876812,540.0
83,2013-03-25,261,488.7749418816346,470.8555811504189,398.0
84,2013-03-26,266,467.55354208786275,471.228635563577,112.5
85,2013-03-27,284,450.06871990524337,471.60050338217127,103.0
86,2013-03-28,361,441.5844338410148,471.97118386489035,108.5
87,2013-03-29,587,455.4358261319442,472.3406762740958,148.5
88,2013-03-30,621,471.20620241368385,472.70897987582197,285.0
89,2013-03-31,403,464.7094940905522,473.07609393977583,428.0
90,2013-04-01,258,445.02046396904433,473.44201773933713,206.5
91,2013-04-02,254,426.8260225038607,473.80675055155854,99.44
92,2013-04-03,296,414.3651519042234,474.1702916571653,74.03999999999998
93,2013-04-04,355,408.7108149667366,474.5326403405557,83.5
94,2013-04-05,606,427.5018034801014,474.8937958898008,118.0
95,2013-04-06,828,465.6473215761645,475.25375759664405,262.52
96,2013-04-07,611,479.4913639641315,475.61252475650207,498.63
97,2013-04-08,422,474.0156631030952,475.9700966684642,350.0
98,2013-04-09,322,459.5371845877291,476.3264726352923,213.03
99,2013-04-10,283,442.72328269842336,476.6816519634214,142.5
100,2013-04-11,372,435.9874286995447,477.0356339629589,96.0
101,2013-04-12,645,455.8941987680812,477.3884179476854,847.94
102,2013-04-14,633,472.7620396013346,477.740003235054,367.9500000000001
103,2013-04-15,299,456.2127220844428,478.09038914619066,603.5799999999998
104,2013-04-16,283,439.7157746577642,478.439575005894,399.5
105,2013-04-17,388,434.7903283396403,478.78756014263564,96.0
106,2013-04-18,363,427.9529853532063,479.1343438885597,132.5
107,2013-04-19,615,445.7673848021016,479.4799255794834,1237.11
108,2013-04-20,966,495.31434981842835,479.82430455489657,138.5
109,2013-04-21,552,500.7130819177015,480.1674801579618,292.5
110,2013-04-22,283,479.9781595436903,480.5094517355145,561.04
111,2013-04-23,302,463.0276048345994,480.85021863806287,295.0
112,2013-04-24,280,445.59616823094336,481.1897802197877,132.0
113,2013-04-25,390,440.301230167169,481.528135838543,104.0
114,2013-04-26,579,453.51078330489815,481.8652848558551,105.0
115,2013-04-27,885,494.605406734748,482.2012266369232,129.65
116,2013-04-28,558,500.64304185403097,482.5359605506197,318.5
117,2013-04-29,278,479.4387684743264,482.8694859694891,583.84
118,2013-04-30,288,461.2063693248745,483.20180226974924,312.5
119,2013-05-01,344,450.0437829111922,483.5329088312905,107.0
120,2013-05-02,392,444.5157699594968,483.862805037676,97.5
121,2013-05-03,659,464.94295191128714,484.19149027614174,135.02
122,2013-05-04,954,511.5200455644577,484.51896393759654,188.0
123,2013-05-05,646,524.3277179744729,484.84522541662176,310.45
124,2013-05-06,268,499.9154548489362,485.170274111472,597.4
125,2013-05-07,342,484.87583225467455,485.49410942407394,352.5
126,2013-05-08,309,468.12569710145067,485.81673076002784,111.16
127,2013-05-09,383,460.0184633783057,486.138137528606,165.0
128,2013-05-10,613,474.5881733289983,486.45832914275405,105.0
129,2013-05-11,867,511.96082060907634,486.77730501909,156.5
130,2013-05-12,459,506.9169216541748,487.0950645779052,328.5
131,2013-05-13,276,484.92478938768426,487.41160724316313,462.5
132,2013-05-14,329,470.0747822656477,487.7269324425001,265.0
133,2013-05-15,381,461.59145562045296,488.041039607226,115.5
134,2013-05-16,414,457.05892924649567,488.3539281723224,169.57
135,2013-05-17,627,473.24381506800194,488.6655975764445,186.03
136,2013-05-18,979,521.4111298527636,488.9760472619198,195.5
137,2013-05-19,756,543.7529518020414,489.2852766747488,335.54
138,2013-05-20,324,522.8240782368507,489.59328526460456,615.12
139,2013-05-21,311,502.65033817454355,489.90007248483323,452.51
140,2013-05-22,362,489.25505686303273,490.2056377924536,138.5
141,2013-05-23,456,486.08790623528165,490.5099806481571,91.0
142,2013-05-24,530,490.27001321697776,490.8131005163081,6806.11
143,2013-05-25,812,520.9109829904355,491.1149968649437,286.5
144,2013-05-26,634,531.6813714943696,491.41566916577386,289.57
145,2013-05-27,330,512.473612257376,491.71511689418105,578.6400000000001
146,2013-05-28,336,495.66659398916084,492.0133395292209,445.57
147,2013-05-29,434,489.7935826422698,492.3103365536216,142.5
148,2013-05-30,436,484.6703824047043,492.60610745378403,177.5
149,2013-05-31,635,498.9874936227822,492.9006517197821,172.0
150,2013-06-02,707,518.7982145006032,493.1939688453624,153.0
151,2013-06-03,280,496.0555211891484,493.4860583279441,320.01
152,2013-06-04,327,479.95499138003714,493.77691966861937,757.2
153,2013-06-05,313,464.05451245289396,494.0665523721532,429.0
154,2013-06-06,385,456.525509742779,494.3549559469832,127.61
155,2013-06-07,876,496.4754685128602,494.64212990521975,218.0
156,2013-06-09,959,540.5254311921584,494.928073762646,104.5
157,2013-06-10,336,521.0468157772549,495.2127870387183,125.5
158,2013-06-11,294,499.42330657952147,495.4962692565654,514.04
159,2013-06-12,410,490.9068001457553,495.7785199429885,1172.86
160,2013-06-13,464,488.3442474663693,496.0595386284623,667.49
161,2013-06-14,610,499.9305107764661,496.3393248471337,172.01
162,2013-06-15,929,540.7942753693603,496.6178781368228,146.4
163,2013-06-16,567,543.290058872774,496.895198039022,155.04000000000005
164,2013-06-17,313,521.3576706814923,497.1712840988971,234.5
165,2013-06-18,304,500.6569387467719,497.4461358652861,381.34
166,2013-06-19,368,488.022943810865,497.71975289070014,523.04
167,2013-06-20,431,482.59218695816116,497.99213473132295,330.5
