Day,Date,Rides
1,2013-01-01,6
2,2013-01-02,8
3,2013-01-03,7
4,2013-01-04,3
5,2013-01-05,3
6,2013-01-06,5
7,2013-01-07,5
8,2013-01-08,6
9,2013-01-09,5
10,2013-01-10,6
11,2013-01-11,4
12,2013-01-12,4
13,2013-01-13,8
14,2013-01-14,8
15,2013-01-15,4
16,2013-01-16,10
17,2013-01-17,2
18,2013-01-18,6
19,2013-01-19,5
20,2013-01-20,6
21,2013-01-21,2
22,2013-01-22,9
23,2013-01-23,7
24,2013-01-24,1
25,2013-01-25,4
26,2013-01-26,2
27,2013-01-27,4
28,2013-01-28,7
29,2013-01-29,5
30,2013-01-30,4
31,2013-01-31,8
32,2013-02-01,5
33,2013-02-02,1
34,2013-02-03,4
35,2013-02-04,5
36,2013-02-05,6
37,2013-02-06,4
38,2013-02-07,5
39,2013-02-08,9
40,2013-02-09,3
41,2013-02-10,7
42,2013-02-11,6
43,2013-02-12,9
44,2013-02-13,3
45,2013-02-14,2
46,2013-02-15,9
47,2013-02-16,4
48,2013-02-17,5
49,2013-02-18,2
50,2013-02-19,8
51,2013-02-20,4
52,2013-02-21,8
53,2013-02-22,6
54,2013-02-23,12
55,2013-02-24,9
56,2013-02-25,9
57,2013-02-26,11
58,2013-02-27,10
59,2013-02-28,11
60,2013-03-01,10
61,2013-03-02,9
62,2013-03-03,6
63,2013-03-04,12
64,2013-03-05,6
65,2013-03-06,8
66,2013-03-07,4
67,2013-03-08,10
68,2013-03-09,4
69,2013-03-10,3
70,2013-03-11,4
71,2013-03-12,13
72,2013-03-13,8
73,2013-03-14,6
74,2013-03-15,7
75,2013-03-16,11
76,2013-03-17,11
77,2013-03-18,4
78,2013-03-19,7
79,2013-03-20,7
80,2013-03-21,7
81,2013-03-22,8
82,2013-03-23,11
83,2013-03-24,5
84,2013-03-25,5
85,2013-03-26,6
86,2013-03-27,7
87,2013-03-28,8
88,2013-03-29,4
89,2013-03-31,9
90,2013-04-01,9
91,2013-04-02,10
92,2013-04-03,7
93,2013-04-04,9
94,2013-04-05,6
95,2013-04-06,6
96,2013-04-07,5
97,2013-04-08,9
98,2013-04-09,7
99,2013-04-10,10
100,2013-04-11,7
101,2013-04-12,6
102,2013-04-13,5
103,2013-04-14,6
104,2013-04-15,9
105,2013-04-16,3
106,2013-04-17,10
107,2013-04-18,8
108,2013-04-19,5
109,2013-04-20,4
110,2013-04-21,11
111,2013-04-22,6
112,2013-04-23,8
113,2013-04-24,7
114,2013-04-25,10
115,2013-04-26,4
116,2013-04-27,1
117,2013-04-28,4
118,2013-04-29,7
119,2013-04-30,10
120,2013-05-01,8
121,2013-05-02,2
122,2013-05-03,6
123,2013-05-04,3
124,2013-05-05,4
125,2013-05-06,5
126,2013-05-07,7
127,2013-05-08,5
128,2013-05-09,5
129,2013-05-10,8
130,2013-05-11,5
131,2013-05-12,8
132,2013-05-13,8
133,2013-05-14,4
134,2013-05-15,4
135,2013-05-16,6
136,2013-05-17,6
137,2013-05-18,7
138,2013-05-19,7
139,2013-05-20,6
140,2013-05-21,7
141,2013-05-22,3
142,2013-05-23,9
143,2013-05-24,8
144,2013-05-25,8
145,2013-05-26,4
146,2013-05-27,7
147,2013-05-28,6
148,2013-05-29,5
149,2013-05-30,3
150,2013-05-31,5
151,2013-06-01,4
152,2013-06-02,1
153,2013-06-03,4
154,2013-06-04,7
155,2013-06-05,5
156,2013-06-06,10
157,2013-06-07,6
158,2013-06-08,2
159,2013-06-09,6
160,2013-06-10,6
161,2013-06-11,6
162,2013-06-12,1
163,2013-06-13,5
164,2013-06-14,9
165,2013-06-15,5
166,2013-06-16,2
167,2013-06-17,6
168,2013-06-18,2
169,2013-06-19,5
170,2013-06-20,5
171,2013-06-21,6
172,2013-06-22,1
173,2013-06-23,3
174,2013-06-24,4
175,2013-06-25,4
176,2013-06-26,5
177,2013-06-27,3
178,2013-06-28,4
179,2013-06-29,5
180,2013-06-30,4
181,2013-07-01,2
182,2013-07-02,8
183,2013-07-03,7
184,2013-07-04,2
185,2013-07-05,7
186,2013-07-06,10
187,2013-07-07,9
188,2013-07-08,5
189,2013-07-09,3
190,2013-07-10,3
191,2013-07-11,6
192,2013-07-12,1
193,2013-07-13,2
194,2013-07-14,2
195,2013-07-15,7
196,2013-07-16,7
197,2013-07-17,7
198,2013-07-18,5
199,2013-07-19,6
200,2013-07-20,4
201,2013-07-21,2
202,2013-07-22,5
203,2013-07-23,4
204,2013-07-24,5
205,2013-07-25,2
206,2013-07-26,3
207,2013-07-27,5
208,2013-07-28,5
209,2013-07-29,3
