Day,Date,Rides
1,2013-01-01,14
2,2013-01-02,14
3,2013-01-03,12
4,2013-01-04,17
5,2013-01-05,13
6,2013-01-06,15
7,2013-01-07,11
8,2013-01-08,17
9,2013-01-09,13
10,2013-01-10,10
11,2013-01-11,17
12,2013-01-12,17
13,2013-01-13,11
14,2013-01-14,17
15,2013-01-15,14
16,2013-01-16,5
17,2013-01-17,23
18,2013-01-18,27
19,2013-01-19,21
20,2013-01-20,16
21,2013-01-21,11
22,2013-01-22,26
23,2013-01-23,24
24,2013-01-24,22
25,2013-01-25,25
26,2013-01-26,14
27,2013-01-27,13
28,2013-01-28,16
29,2013-01-29,19
30,2013-01-30,19
31,2013-01-31,18
32,2013-02-01,23
33,2013-02-02,27
34,2013-02-03,18
35,2013-02-04,19
36,2013-02-05,29
37,2013-02-06,25
38,2013-02-07,25
39,2013-02-08,28
40,2013-02-09,28
41,2013-02-10,23
42,2013-02-11,17
43,2013-02-12,27
44,2013-02-13,21
45,2013-02-14,27
46,2013-02-15,24
47,2013-02-16,26
48,2013-02-17,17
49,2013-02-18,15
50,2013-02-19,23
51,2013-02-20,24
52,2013-02-21,30
53,2013-02-22,15
54,2013-02-23,26
55,2013-02-24,13
56,2013-02-25,18
57,2013-02-26,21
58,2013-02-27,27
59,2013-02-28,33
60,2013-03-01,45
61,2013-03-02,31
62,2013-03-03,20
63,2013-03-04,24
64,2013-03-05,24
65,2013-03-06,28
66,2013-03-07,18
67,2013-03-08,33
68,2013-03-09,20
69,2013-03-10,21
70,2013-03-11,22
71,2013-03-12,27
72,2013-03-13,24
73,2013-03-14,30
74,2013-03-15,26
75,2013-03-16,14
76,2013-03-17,13
77,2013-03-18,22
78,2013-03-19,25
79,2013-03-20,24
80,2013-03-21,29
81,2013-03-22,44
82,2013-03-23,30
83,2013-03-24,29
84,2013-03-25,16
85,2013-03-26,22
86,2013-03-27,15
87,2013-03-28,13
88,2013-03-29,22
89,2013-03-30,17
90,2013-03-31,20
91,2013-04-01,19
92,2013-04-02,24
93,2013-04-03,32
94,2013-04-04,24
95,2013-04-05,25
96,2013-04-06,26
97,2013-04-07,21
98,2013-04-08,25
99,2013-04-09,18
100,2013-04-10,33
101,2013-04-11,20
102,2013-04-12,33
103,2013-04-13,24
104,2013-04-14,16
105,2013-04-15,17
106,2013-04-16,14
107,2013-04-17,22
108,2013-04-18,32
109,2013-04-19,33
110,2013-04-20,28
111,2013-04-21,12
112,2013-04-22,26
113,2013-04-23,35
114,2013-04-24,35
115,2013-04-25,29
116,2013-04-26,27
117,2013-04-27,26
118,2013-04-28,20
119,2013-04-29,23
120,2013-04-30,24
121,2013-05-01,24
122,2013-05-02,20
123,2013-05-03,30
124,2013-05-04,27
125,2013-05-05,14
126,2013-05-06,17
127,2013-05-07,24
128,2013-05-08,23
129,2013-05-09,22
130,2013-05-10,37
131,2013-05-11,19
132,2013-05-12,25
133,2013-05-13,14
134,2013-05-14,17
135,2013-05-15,22
136,2013-05-16,27
137,2013-05-17,29
138,2013-05-18,23
139,2013-05-19,19
140,2013-05-20,23
141,2013-05-21,19
142,2013-05-22,42
143,2013-05-23,32
144,2013-05-24,35
145,2013-05-25,30
146,2013-05-26,16
147,2013-05-27,17
148,2013-05-28,29
149,2013-05-29,26
150,2013-05-30,29
151,2013-05-31,25
152,2013-06-01,21
153,2013-06-02,25
154,2013-06-03,15
155,2013-06-04,21
156,2013-06-05,28
157,2013-06-06,26
158,2013-06-07,36
159,2013-06-08,29
160,2013-06-09,12
161,2013-06-10,27
162,2013-06-11,29
163,2013-06-12,36
164,2013-06-13,34
165,2013-06-16,15
166,2013-06-17,22
167,2013-06-18,31
168,2013-06-19,16
169,2013-06-20,22
170,2013-06-21,25
171,2013-06-22,20
172,2013-06-23,14
173,2013-06-24,18
174,2013-06-25,20
175,2013-06-26,15
176,2013-06-27,15
