Day,Date,Rides
1,2013-01-01,16
2,2013-01-02,17
3,2013-01-03,13
4,2013-01-04,20
5,2013-01-05,8
6,2013-01-06,11
7,2013-01-07,19
8,2013-01-08,21
9,2013-01-09,12
10,2013-01-10,21
11,2013-01-11,14
12,2013-01-12,10
13,2013-01-13,8
14,2013-01-14,16
15,2013-01-15,15
16,2013-01-16,17
17,2013-01-17,17
18,2013-01-18,26
19,2013-01-19,10
20,2013-01-20,9
21,2013-01-21,14
22,2013-01-22,25
23,2013-01-23,22
24,2013-01-24,11
25,2013-01-25,21
26,2013-01-26,11
27,2013-01-27,8
28,2013-01-29,15
29,2013-01-30,12
30,2013-01-31,18
31,2013-02-01,22
32,2013-02-02,13
33,2013-02-03,14
34,2013-02-04,16
35,2013-02-05,13
36,2013-02-06,20
37,2013-02-07,10
38,2013-02-08,20
39,2013-02-09,21
40,2013-02-10,16
41,2013-02-11,20
42,2013-02-12,9
43,2013-02-13,14
44,2013-02-14,15
45,2013-02-15,14
46,2013-02-16,10
47,2013-02-17,9
48,2013-02-18,16
49,2013-02-19,20
50,2013-02-20,18
51,2013-02-21,17
52,2013-02-22,20
53,2013-02-23,11
54,2013-02-24,9
55,2013-02-25,21
56,2013-02-26,23
57,2013-02-27,15
58,2013-02-28,22
59,2013-03-01,14
60,2013-03-02,15
61,2013-03-03,13
62,2013-03-04,20
63,2013-03-05,10
64,2013-03-06,11
65,2013-03-07,17
66,2013-03-09,15
67,2013-03-10,9
68,2013-03-11,21
69,2013-03-12,12
70,2013-03-13,14
71,2013-03-14,20
72,2013-03-15,18
73,2013-03-16,22
74,2013-03-17,26
75,2013-03-18,14
76,2013-03-19,11
77,2013-03-20,15
78,2013-03-21,18
79,2013-03-22,14
80,2013-03-23,12
81,2013-03-24,13
82,2013-03-25,14
83,2013-03-26,22
84,2013-03-27,19
85,2013-03-28,20
86,2013-03-29,20
87,2013-03-30,18
88,2013-03-31,15
89,2013-04-01,20
90,2013-04-02,19
91,2013-04-03,14
92,2013-04-04,12
93,2013-04-05,19
94,2013-04-06,16
95,2013-04-07,7
96,2013-04-08,26
97,2013-04-09,24
98,2013-04-10,16
99,2013-04-11,9
100,2013-04-12,16
101,2013-04-13,15
102,2013-04-14,18
103,2013-04-15,17
104,2013-04-16,20
105,2013-04-17,24
106,2013-04-18,20
107,2013-04-19,15
108,2013-04-20,14
109,2013-04-21,12
110,2013-04-23,18
111,2013-04-24,13
112,2013-04-25,17
113,2013-04-26,13
114,2013-04-27,26
115,2013-04-28,8
116,2013-04-29,21
117,2013-04-30,23
118,2013-05-01,15
119,2013-05-02,15
120,2013-05-03,15
121,2013-05-04,10
122,2013-05-05,16
123,2013-05-06,20
124,2013-05-07,13
125,2013-05-08,15
126,2013-05-09,13
127,2013-05-10,16
128,2013-05-11,10
129,2013-05-12,12
130,2013-05-13,11
131,2013-05-14,12
132,2013-05-15,12
133,2013-05-16,16
134,2013-05-17,13
135,2013-05-18,8
136,2013-05-19,11
137,2013-05-20,16
138,2013-05-22,19
139,2013-05-23,20
140,2013-05-24,16
141,2013-05-25,15
142,2013-05-26,15
143,2013-05-27,8
144,2013-05-28,15
145,2013-05-29,16
146,2013-05-30,9
147,2013-05-31,15
148,2013-06-01,12
149,2013-06-02,22
150,2013-06-03,15
151,2013-06-04,15
152,2013-06-05,7
153,2013-06-06,22
154,2013-06-07,13
155,2013-06-08,17
156,2013-06-10,21
157,2013-06-11,11
158,2013-06-12,15
159,2013-06-13,14
160,2013-06-14,26
161,2013-06-15,15
162,2013-06-16,18
163,2013-06-17,15
164,2013-06-18,10
165,2013-06-19,16
166,2013-06-20,19
167,2013-06-21,15
168,2013-06-22,12
169,2013-06-23,19
170,2013-06-24,20
171,2013-06-25,17
172,2013-06-26,16
173,2013-06-27,19
174,2013-06-28,23
175,2013-06-29,26
176,2013-06-30,13
177,2013-07-01,14
178,2013-07-02,16
179,2013-07-03,8
180,2013-07-04,14
181,2013-07-05,11
182,2013-07-06,14
183,2013-07-07,14
184,2013-07-08,26
185,2013-07-09,24
186,2013-07-10,9
187,2013-07-11,12
188,2013-07-12,24
189,2013-07-13,22
190,2013-07-14,7
191,2013-07-15,17
192,2013-07-16,11
193,2013-07-17,18
194,2013-07-18,14
195,2013-07-19,17
196,2013-07-20,17
197,2013-07-21,9
198,2013-07-22,8
199,2013-07-23,21
200,2013-07-24,26
201,2013-07-25,18
202,2013-07-26,16
203,2013-07-27,17
204,2013-07-28,4
205,2013-07-29,20
206,2013-07-30,12
207,2013-07-31,15
208,2013-08-02,13
209,2013-08-03,17
210,2013-08-04,16
211,2013-08-05,16
212,2013-08-06,14
213,2013-08-07,6
214,2013-08-08,19
215,2013-08-09,14
216,2013-08-10,13
217,2013-08-11,14
