Day,Date,Rides
1,2013-01-01,25
2,2013-01-02,33
3,2013-01-03,29
4,2013-01-04,35
5,2013-01-05,12
6,2013-01-06,15
7,2013-01-07,21
8,2013-01-08,33
9,2013-01-09,27
10,2013-01-10,36
11,2013-01-11,47
12,2013-01-12,26
13,2013-01-13,29
14,2013-01-14,31
15,2013-01-15,39
16,2013-01-16,49
17,2013-01-17,35
18,2013-01-18,47
19,2013-01-19,24
20,2013-01-20,26
21,2013-01-21,34
22,2013-01-22,32
23,2013-01-23,34
24,2013-01-24,36
25,2013-01-25,46
26,2013-01-26,18
27,2013-01-27,14
28,2013-01-28,37
29,2013-01-29,43
30,2013-01-30,34
31,2013-01-31,37
32,2013-02-01,41
33,2013-02-02,21
34,2013-02-03,28
35,2013-02-04,34
36,2013-02-05,40
37,2013-02-06,32
38,2013-02-07,47
39,2013-02-08,29
40,2013-02-09,27
41,2013-02-10,28
42,2013-02-11,37
43,2013-02-12,36
44,2013-02-13,42
45,2013-02-14,40
46,2013-02-15,46
47,2013-02-16,31
48,2013-02-17,24
49,2013-02-18,43
50,2013-02-19,51
51,2013-02-20,46
52,2013-02-21,41
53,2013-02-22,58
54,2013-02-23,26
55,2013-02-24,27
56,2013-02-25,49
57,2013-02-26,52
58,2013-02-27,35
59,2013-02-28,50
60,2013-03-01,40
61,2013-03-02,28
62,2013-03-03,23
63,2013-03-04,50
64,2013-03-05,41
65,2013-03-06,37
66,2013-03-07,41
67,2013-03-08,52
68,2013-03-09,36
69,2013-03-10,35
70,2013-03-11,62
71,2013-03-12,33
72,2013-03-13,28
73,2013-03-14,30
74,2013-03-15,65
75,2013-03-16,38
76,2013-03-17,31
77,2013-03-18,43
78,2013-03-19,43
79,2013-03-20,36
80,2013-03-21,35
81,2013-03-22,34
82,2013-03-23,32
83,2013-03-24,22
84,2013-03-25,38
85,2013-03-26,34
86,2013-03-27,35
87,2013-03-28,58
88,2013-03-29,22
89,2013-03-30,27
90,2013-03-31,21
91,2013-04-01,44
92,2013-04-02,24
93,2013-04-03,28
94,2013-04-04,35
95,2013-04-05,41
96,2013-04-06,23
97,2013-04-07,19
98,2013-04-08,57
99,2013-04-09,25
100,2013-04-10,37
101,2013-04-11,27
102,2013-04-12,50
103,2013-04-13,33
104,2013-04-14,30
105,2013-04-15,43
106,2013-04-16,38
107,2013-04-17,60
108,2013-04-18,67
109,2013-04-19,46
110,2013-04-20,29
111,2013-04-21,30
112,2013-04-22,46
113,2013-04-23,44
114,2013-04-24,38
115,2013-04-25,40
116,2013-04-26,47
117,2013-04-27,41
118,2013-04-28,26
119,2013-04-29,42
120,2013-04-30,28
121,2013-05-01,23
122,2013-05-02,33
123,2013-05-03,48
124,2013-05-04,40
125,2013-05-05,31
126,2013-05-06,35
127,2013-05-07,30
128,2013-05-08,40
129,2013-05-09,50
130,2013-05-10,43
131,2013-05-11,36
132,2013-05-12,28
133,2013-05-13,34
134,2013-05-14,30
135,2013-05-15,39
136,2013-05-16,44
137,2013-05-17,48
138,2013-05-18,40
139,2013-05-19,32
140,2013-05-20,46
141,2013-05-21,49
142,2013-05-22,35
143,2013-05-23,56
144,2013-05-24,43
145,2013-05-25,30
146,2013-05-26,27
147,2013-05-27,19
148,2013-05-28,61
149,2013-05-29,54
150,2013-05-30,49
151,2013-05-31,41
152,2013-06-01,38
153,2013-06-02,40
154,2013-06-03,38
155,2013-06-04,43
156,2013-06-05,45
157,2013-06-06,45
158,2013-06-07,39
159,2013-06-08,27
160,2013-06-09,25
161,2013-06-10,38
162,2013-06-11,32
163,2013-06-12,37
164,2013-06-13,43
165,2013-06-14,49
166,2013-06-15,42
167,2013-06-16,32
168,2013-06-17,61
169,2013-06-18,38
170,2013-06-19,41
171,2013-06-20,44
172,2013-06-21,54
173,2013-06-22,26
174,2013-06-23,25
175,2013-06-24,47
176,2013-06-25,44
177,2013-06-26,53
178,2013-06-27,70
179,2013-06-28,59
180,2013-06-29,34
181,2013-06-30,37
182,2013-07-01,41
183,2013-07-02,39
184,2013-07-03,24
185,2013-07-04,30
186,2013-07-05,38
187,2013-07-06,26
188,2013-07-07,29
189,2013-07-08,51
190,2013-07-09,40
191,2013-07-10,28
192,2013-07-11,48
193,2013-07-12,43
194,2013-07-13,34
195,2013-07-14,50
196,2013-07-15,39
197,2013-07-16,30
198,2013-07-17,42
199,2013-07-18,57
200,2013-07-19,50
201,2013-07-20,34
202,2013-07-21,29
203,2013-07-22,47
204,2013-07-23,37
205,2013-07-24,35
206,2013-07-25,38
207,2013-07-26,61
208,2013-07-27,35
209,2013-07-28,29
210,2013-07-29,40
211,2013-07-30,45
212,2013-07-31,36
213,2013-08-01,39
214,2013-08-02,41
215,2013-08-03,27
216,2013-08-04,21
217,2013-08-05,51
218,2013-08-06,30
219,2013-08-07,26
220,2013-08-08,39
221,2013-08-09,43
222,2013-08-10,26
223,2013-08-11,39
224,2013-08-12,51
225,2013-08-13,27
226,2013-08-14,48
227,2013-08-15,32
228,2013-08-16,34
229,2013-08-17,44
230,2013-08-18,27
231,2013-08-19,45
232,2013-08-20,46
233,2013-08-21,38
234,2013-08-22,32
235,2013-08-23,32
236,2013-08-24,27
237,2013-08-25,28
238,2013-08-26,46
239,2013-08-27,44
240,2013-08-28,50
241,2013-08-29,30
242,2013-08-30,34
243,2013-08-31,27
244,2013-09-01,39
245,2013-09-02,17
246,2013-09-03,47
247,2013-09-04,46
248,2013-09-05,35
249,2013-09-06,42
250,2013-09-07,37
251,2013-09-08,37
252,2013-09-09,46
253,2013-09-10,38
254,2013-09-11,61
255,2013-09-12,63
256,2013-09-13,36
257,2013-09-14,29
258,2013-09-15,28
259,2013-09-16,59
260,2013-09-17,33
261,2013-09-18,50
262,2013-09-19,50
263,2013-09-20,33
264,2013-09-21,36
265,2013-09-22,30
266,2013-09-23,49
267,2013-09-24,35
268,2013-09-25,28
269,2013-09-26,35
270,2013-09-27,38
271,2013-09-28,27
272,2013-09-29,31
273,2013-09-30,73
274,2013-10-01,32
275,2013-10-02,34
276,2013-10-03,30
277,2013-10-04,37
278,2013-10-05,44
279,2013-10-06,38
280,2013-10-07,34
281,2013-10-08,56
282,2013-10-09,40
283,2013-10-10,34
284,2013-10-11,46
285,2013-10-12,29
286,2013-10-13,36
287,2013-10-14,62
288,2013-10-15,50
289,2013-10-16,39
290,2013-10-17,44
291,2013-10-18,50
292,2013-10-19,54
293,2013-10-20,24
294,2013-10-21,38
295,2013-10-22,51
296,2013-10-23,46
297,2013-10-24,35
298,2013-10-25,30
299,2013-10-26,32
300,2013-10-27,43
301,2013-10-28,40
302,2013-10-29,33
303,2013-10-30,42
304,2013-10-31,40
305,2013-11-01,41
306,2013-11-02,28
307,2013-11-03,41
308,2013-11-04,54
309,2013-11-05,39
310,2013-11-06,48
311,2013-11-07,39
312,2013-11-08,43
313,2013-11-09,31
314,2013-11-10,30
315,2013-11-11,50
316,2013-11-12,57
317,2013-11-13,43
318,2013-11-14,33
319,2013-11-15,41
320,2013-11-16,25
321,2013-11-17,28
322,2013-11-18,56
323,2013-11-19,46
324,2013-11-20,55
325,2013-11-21,53
326,2013-11-22,60
327,2013-11-23,25
328,2013-11-24,32
329,2013-11-25,56
330,2013-11-26,43
331,2013-11-27,50
332,2013-11-28,25
333,2013-11-29,18
334,2013-11-30,27
335,2013-12-01,24
336,2013-12-02,46
337,2013-12-03,48
338,2013-12-04,27
339,2013-12-05,46
340,2013-12-06,48
341,2013-12-07,42
342,2013-12-08,32
343,2013-12-09,65
344,2013-12-10,53
345,2013-12-11,48
346,2013-12-12,45
347,2013-12-13,47
348,2013-12-14,41
349,2013-12-15,34
350,2013-12-16,65
351,2013-12-17,40
352,2013-12-18,63
353,2013-12-19,51
354,2013-12-20,68
355,2013-12-21,54
356,2013-12-22,37
357,2013-12-23,64
358,2013-12-24,43
359,2013-12-25,18
360,2013-12-26,36
361,2013-12-27,37
362,2013-12-28,25
363,2013-12-29,24
364,2013-12-30,28
365,2013-12-31,49
366,2014-01-01,34
367,2014-01-02,32
368,2014-01-03,51
369,2014-01-04,32
370,2014-01-05,42
371,2014-01-06,53
372,2014-01-07,34
373,2014-01-08,62
374,2014-01-09,72
375,2014-01-10,44
376,2014-01-11,36
377,2014-01-12,49
378,2014-01-13,46
379,2014-01-14,49
380,2014-01-15,57
381,2014-01-16,56
382,2014-01-17,47
383,2014-01-18,40
384,2014-01-19,27
385,2014-01-20,61
386,2014-01-21,54
387,2014-01-22,53
388,2014-01-23,53
389,2014-01-24,43
390,2014-01-25,32
391,2014-01-26,36
392,2014-01-27,55
393,2014-01-28,33
394,2014-01-29,41
395,2014-01-30,39
396,2014-01-31,51
397,2014-02-01,31
398,2014-02-02,43
399,2014-02-03,72
400,2014-02-04,62
401,2014-02-05,63
402,2014-02-06,61
403,2014-02-07,58
404,2014-02-08,31
405,2014-02-09,36
406,2014-02-10,65
407,2014-02-11,43
408,2014-02-12,58
409,2014-02-13,54
410,2014-02-14,50
411,2014-02-15,51
412,2014-02-16,44
413,2014-02-18,49
414,2014-02-19,44
415,2014-02-20,53
416,2014-02-21,53
417,2014-02-22,34
418,2014-02-23,35
419,2014-02-24,71
420,2014-02-25,57
421,2014-02-26,43
422,2014-02-27,58
423,2014-02-28,47
424,2014-03-01,40
425,2014-03-02,34
426,2014-03-03,51
427,2014-03-04,58
428,2014-03-05,47
429,2014-03-06,42
430,2014-03-07,56
431,2014-03-08,40
432,2014-03-09,32
433,2014-03-10,39
434,2014-03-11,30
435,2014-03-12,38
436,2014-03-13,47
437,2014-03-14,42
438,2014-03-15,45
439,2014-03-16,46
440,2014-03-17,57
441,2014-03-18,36
442,2014-03-19,49
443,2014-03-20,59
444,2014-03-21,48
445,2014-03-22,25
446,2014-03-23,29
447,2014-03-24,55
448,2014-03-25,66
449,2014-03-26,47
450,2014-03-27,48
451,2014-03-28,42
452,2014-03-29,39
453,2014-03-30,34
454,2014-03-31,53
455,2014-04-01,41
456,2014-04-02,40
457,2014-04-03,44
458,2014-04-04,43
459,2014-04-05,47
460,2014-04-06,30
461,2014-04-07,63
462,2014-04-08,36
463,2014-04-09,54
464,2014-04-10,41
465,2014-04-12,64
466,2014-04-13,44
467,2014-04-15,60
468,2014-04-17,55
469,2014-04-18,39
470,2014-04-19,34
471,2014-04-20,31
472,2014-04-21,57
473,2014-04-22,55
474,2014-04-23,45
475,2014-04-24,58
476,2014-04-25,48
477,2014-04-26,56
478,2014-04-27,46
479,2014-04-28,58
480,2014-04-29,69
481,2014-04-30,43
482,2014-05-01,51
483,2014-05-03,59
484,2014-05-04,56
485,2014-05-05,55
486,2014-05-06,53
487,2014-05-07,45
488,2014-05-09,52
489,2014-05-10,49
490,2014-05-11,34
491,2014-05-12,46
492,2014-05-14,64
493,2014-05-15,33
494,2014-05-16,49
495,2014-05-17,32
496,2014-05-19,47
497,2014-05-20,54
498,2014-05-21,68
499,2014-05-22,67
500,2014-05-23,47
501,2014-05-24,36
502,2014-05-25,44
503,2014-05-26,38
504,2014-05-27,61
